Date,Description,Link,EarningRelated
31/08/2023 00:00:00,Albany International Completes Acquisition of Heimbach Group,,0
24/08/2023 00:00:00,Albany International Declares Dividend,,1
21/08/2023 00:00:00,Albany International Appoints Gunnar Kleveland as President and Chief Executive Officer,,0
26/07/2023 00:00:00,Albany International Reports Second-Quarter 2023 Results,,1
29/06/2023 00:00:00,Albany International Schedules Earnings Release Date,,1
20/06/2023 00:00:00,Albany International Delivers Advanced 3D Woven VTP Fitting to Aernnova for Clean Sky 2 Technology Demonstrator,,0
19/06/2023 00:00:00,Albany International Is Excited to Deliver Its Advanced 3D Woven Rib to the Airbus Wing of Tomorrow Program,,0
14/06/2023 00:00:00,Albany International Enters Definitive Agreement to Acquire Heimbach Group for €153 Million,,0
12/05/2023 00:00:00,Albany International Declares Dividend,,1
02/05/2023 00:00:00,Albany International Issues 2022 Sustainability Report,,0
25/04/2023 00:00:00,Albany Engineered Composites Awarded Army Contract to Develop Near-net Shape 3D Weaving Technology for Hypersonic Applications,,0
25/04/2023 00:00:00,Albany International Reports First-Quarter 2023 Results,,1
04/04/2023 00:00:00,Albany International Schedules Earnings Release Date,,1
23/03/2023 00:00:00,Albany International Announces CFO Transition,,0
14/03/2023 00:00:00,Albany International to Present at the J.P. Morgan Industrials Conference March 16,,0
13/03/2023 00:00:00,Albany International Announces CEO Succession Plan,,0
24/02/2023 00:00:00,Albany International Declares Dividend,,1
13/02/2023 00:00:00,Albany International Reports Fourth-Quarter 2022 Results,,1
13/02/2023 00:00:00,Albany International to Present at the Cowen 44th Annual Aerospace/Defense and Industrials Conference,,0
11/01/2023 00:00:00,Albany International Schedules Earnings Release Date,,1
09/12/2022 00:00:00,Albany International Increases Dividend,,1
24/10/2022 00:00:00,Albany International Reports Third-Quarter 2022 Results,,1
04/10/2022 00:00:00,Albany International Schedules Earnings Release Date,,1
25/08/2022 00:00:00,Albany International Declares Dividend,,1
25/07/2022 00:00:00,"Albany International Reports Second-Quarter 2022 Results, Raises 2022 Guidance",,1
30/06/2022 00:00:00,Albany International Schedules Earnings Release Date,,1
23/05/2022 00:00:00,Albany International to Host Investor Day May 25,,0
20/05/2022 00:00:00,Albany International Declares Dividend,,1
10/05/2022 00:00:00,Albany International to Host Investor Day May 25,,0
