Date,Description,Link,EarningRelated
22/08/2023 00:00:00,"LyondellBasell licenses Lupotech T technology to Jiangsu Fenghai High-Tech Materials Co., Ltd.",,0
18/08/2023 00:00:00,LyondellBasell Announces Quarterly Dividend,,1
04/08/2023 00:00:00,LyondellBasell Reports Second Quarter 2023 Earnings,,1
21/07/2023 00:00:00,"LyondellBasell to Discuss Second Quarter Results on Friday, August 4, 2023",,1
20/07/2023 00:00:00,LyondellBasell Recognized as ESG Leader,,0
19/07/2023 00:00:00,LyondellBasell Acquires 50% Share in Dutch Recycling Company,,0
11/07/2023 00:00:00,LyondellBasell differentiated Polyethylene (PE) technology selected for PetroChina Guangxi complex,,0
05/07/2023 00:00:00,LyondellBasell completes acquisition of Mepol Group,,0
29/06/2023 00:00:00,LyondellBasell Invests in Carbon Neutrality Venture Fund,,0
22/06/2023 00:00:00,Video: How can customers benefit from our circular and low carbon solutions business?,,0
16/06/2023 00:00:00,New Joint Venture to Boost Circularity of Secondary Plastic Packaging,,0
01/06/2023 00:00:00,"LyondellBasell Pursues New Electric Furnace Technology, Collaborates with Technip Energies and ChevronPhillips",,0
01/06/2023 00:00:00,"LyondellBasell to Address Deutsche Bank Global Industrials, Materials & Building Products Conference",,0
31/05/2023 00:00:00,LyondellBasell Announces Delay in Refining Business Exit,,0
30/05/2023 00:00:00,Alujain Corporation again selects Polypropylene technology from LyondellBasell,,0
19/05/2023 00:00:00,LyondellBasell Announces 5% Percent Increase to Quarterly Dividend,,1
17/05/2023 00:00:00,LyondellBasell Prices Public Offering of Inaugural Green Bond,,0
09/05/2023 00:00:00,"Infinity Recycling, Invest-NL and LyondellBasell invest in Pryme to accelerate the advanced recycling of plastic waste",,0
08/05/2023 00:00:00,LyondellBasell Introduces Green Financing Framework to Help Further Sustainability Goals,,0
03/05/2023 00:00:00,LyondellBasell to Address Goldman Sachs Industrials & Materials Conference,,0
28/04/2023 00:00:00,LyondellBasell Reports First Quarter 2023 Earnings,,1
25/04/2023 00:00:00,LyondellBasell Details Accelerated Momentum in 2022 Sustainability Report,,0
24/04/2023 00:00:00,LyondellBasell delivers renewable-based polymers for the medical device industry,,0
16/04/2023 00:00:00,LyondellBasell to Showcase Sustainable Everyday Living at Chinaplas 2023,,0
14/04/2023 00:00:00,"LyondellBasell to Discuss First Quarter Results on Friday, April 28, 2023",,1
31/03/2023 00:00:00,Kyle Pierce Named 2023 Head of Diversity Honoree by the Houston Business Journal,,0
27/03/2023 00:00:00,LyondellBasell and EEW sign LOI for potential advanced waste sorting,,0
14/03/2023 00:00:00,LyondellBasell Commissions World's Largest PO/TBA Unit,,0
14/03/2023 00:00:00,LyondellBasell Launches New Company Strategy,,0
13/03/2023 00:00:00,LyondellBasell announces decision to acquire Mepol Group,,0
10/03/2023 00:00:00,LyondellBasell and Grenergy Sign Five 15-year Solar Power Purchase Agreements,,0
07/03/2023 00:00:00,"LyondellBasell to Host Capital Markets Day on March 14, 2023",,0
24/02/2023 00:00:00,LyondellBasell Announces Quarterly Dividend,,1
16/02/2023 00:00:00,LYONDELLBASELL SECURES ADVANCED RECYCLED FEEDSTOCK WITH NEXUS CIRCULAR,,0
08/02/2023 00:00:00,LyondellBasell and KIRKBI invest in APK to develop recycling technology,,0
07/02/2023 00:00:00,PetroChina again selects differentiated LyondellBasell Polyethylene (PE) technology,,0
03/02/2023 00:00:00,LyondellBasell Reports 2022 Earnings,,1
02/02/2023 00:00:00,LyondellBasell Quickly Advances Towards its 2030 Global Renewable Electricity Target,,0
20/01/2023 00:00:00,LyondellBasell Showcases Traditional and Sustainable Solutions at PlastIndia 2023,,0
20/01/2023 00:00:00,"LyondellBasell to Discuss Fourth Quarter Results on Friday, February 3, 2023",,1
16/01/2023 00:00:00,LyondellBasell Selects Executive Vice President of People and Culture,,0
16/12/2022 00:00:00,"LyondellBasell Increases Greenhouse Gas Emissions Reduction Targets, Includes Scope 3",,0
28/11/2022 00:00:00,LyondellBasell and Audi create first automotive plastic parts from mixed automotive plastic waste,,0
22/11/2022 00:00:00,LyondellBasell to Address Citi Basic Materials Conference,,0
18/11/2022 00:00:00,"LyondellBasell Makes Decision to Progress Advanced Recycling Plant in Wesseling, Germany",,0
17/11/2022 00:00:00,LyondellBasell Evaluates Propylene Expansion Project,,0
02/11/2022 00:00:00,LyondellBasell Spheripol technology selected by Stavian Quang Yen Petrochemical,,0
02/11/2022 00:00:00,"LyondellBasell to Address Morgan Stanley Global Chemicals, Agriculture and Packaging Conference",,0
28/10/2022 00:00:00,LyondellBasell Reports Third Quarter 2022 Earnings,,1
20/10/2022 00:00:00,LyondellBasell and Shakti Plastic Industries Sign Memorandum of Understanding (MoU) to Advance Mechanical Recycling in India,,0
19/10/2022 00:00:00,"Air Liquide, Chevron, LyondellBasell, and Uniper to pursue lower carbon hydrogen and ammonia project along the U.S. Gulf Coast",,0
18/10/2022 00:00:00,"Cyclyx, ExxonMobil and LyondellBasell Advance First-of-its-Kind Plastic Processing Facility in Houston",,0
14/10/2022 00:00:00,"LyondellBasell to Discuss Third Quarter Results on Friday, October 28, 2022",,1
11/10/2022 00:00:00,LyondellBasell Forms Joint Venture to Build Plastic Waste Sorting and Recycling Facility and Plans to Build Advanced Recycling Plant,,0
10/10/2022 00:00:00,LyondellBasell and Genox Recycling Plan to Establish Plastics Recycling Joint Venture,,0
