Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal,DetailLink,Description
08/07/2023 00:00:00,Fluor Corporation Announces Pricing of Private Offering of $500 Million of 1.125% Convertible Senior Notes Due 2029,
08/07/2023 00:00:00,Fluor Corporation Announces Cash Tender Offer,
08/07/2023 00:00:00,Fluor Corporation Announces Proposed Private Offering of $500 Million of Convertible Senior Notes,
08/04/2023 00:00:00,Fluor Reports Second Quarter 2023 Results,
08/02/2023 00:00:00,Fluor Awarded Front-End Engineering and Design Contract for LanzaTech Sustainable Aviation Fuel Facility,
07/31/2023 00:00:00,Fluor-led Joint Venture Selected for I-35 NEX South Project in San Antonio,
07/27/2023 00:00:00,Fluor Awarded More Than $1 Billion in Life Sciences Contracts,
07/26/2023 00:00:00,"Fluor Awarded Engineering, Procurement and Construction Contract for Mitsubishi Chemical Group Project in UK",
07/18/2023 00:00:00,Fluor Reaches Significant Milestone on LNG Canada Project,
07/17/2023 00:00:00,Fluor Team Awarded DOE Portsmouth Gaseous Diffusion Plant Decontamination and Decommissioning Contract,
07/10/2023 00:00:00,Fluor Corporation to Hold Second Quarter Earnings Conference Call,
07/06/2023 00:00:00,Fluor and Carbfix Collaborate to Address Carbon Capture and Storage Solutions for Hard-To-Abate Sectors,
05/24/2023 00:00:00,Stork Awarded Five-Year Asset Integrity Contract on the United Kingdom Continental Shelf,
05/17/2023 00:00:00,Fluor to Participate in Upcoming Investor Conferences,
05/05/2023 00:00:00,Fluor Reports First Quarter 2023 Results,
04/24/2023 00:00:00,Fluor Corporation to Hold First Quarter Earnings Conference Call,
04/20/2023 00:00:00,Fluor’s Carbon Capture Technology Selected by Federated Co-Operatives Ltd. for Renewable Diesel Facility in Canada,
04/18/2023 00:00:00,Fluor Signs MOU with Longview Fusion Energy Systems to Support Innovative Laser Fusion Power Commercialization,
04/17/2023 00:00:00,Fluor Joint Venture Awarded U.S. Department of Energy Hanford Integrated Tank Disposition Contract,
03/14/2023 00:00:00,Fluor Sells AMECO South America to STRACON Group,
02/21/2023 00:00:00,Fluor Reports Fourth Quarter and Full Year 2022 Results,
02/20/2023 00:00:00,Dow Awards Fluor Front-End Engineering and Design for its Proposed Net-Zero Ethylene and Derivatives Complex in Canada,
02/16/2023 00:00:00,Fluor Selected for Agilent Life Sciences Facility Expansion in Colorado,
01/12/2023 00:00:00,Fluor Joint Venture Selected for A27 HHZ Everdingen-Hooipolder Roadway Project in the Netherlands,
01/12/2023 00:00:00,Fluor Corporation to Hold Fourth Quarter & Year End Earnings Conference Call,
01/05/2023 00:00:00,Fluor Selected for Skouries Project in Greece,
12/28/2022 00:00:00,Fluor Announces Full Redemption of Its 1.750% Senior Notes Due 2023,
12/12/2022 00:00:00,Fluor Joint Venture Opens Medford Branch of Boston Green Line Rail Extension Project,
12/01/2022 00:00:00,Fluor-Led Southern Gateway Project Opens to Traffic in Dallas,
11/16/2022 00:00:00,"Fluor Breaks Ground on I-35 Capital Express South Project in Austin, Texas",
11/14/2022 00:00:00,Fluor Achieves Substantial Engineering Completion for Albemarle Lithium Conversion Project,
11/09/2022 00:00:00,Fluor to Participate in Upcoming Investor Conferences,
11/04/2022 00:00:00,Fluor Reports Third Quarter 2022 Results,
