Date,Description,Link
08/08/2023 00:00:00,Axon raises outlook after Q2 2023 revenue grows 31% to $375 million,
25/07/2023 00:00:00,"Axon to Release Second Quarter 2023 Earnings on August 8, 2023",
06/07/2023 00:00:00,Axon Public Safety Technology Roadshow Expands to Nine New Countries,
05/07/2023 00:00:00,THE WELL-BEING OF FIRST RESPONDERS: A VITAL CALL TO ACTION,
28/06/2023 00:00:00,Axon Supports First Responders with Video Series on Post Traumatic Growth,
08/06/2023 00:00:00,CHRISTUS Health Becomes Latest Health Network to Deploy Axon Body Cameras to Enhance Hospital Security,
17/05/2023 00:00:00,San Bernardino County District Attorney's Office Deploys Axon Justice Premier,
09/05/2023 00:00:00,"Axon reports Q1 2023 revenue of $343 million, up 34% YOY, raises outlook",
25/04/2023 00:00:00,"Axon to Release First Quarter 2023 Earnings on May 9, 2023",
17/04/2023 00:00:00,Axon Wins Jurisdictional Challenge Against the Federal Trade Commission with Unanimous Supreme Court Decision,
11/04/2023 00:00:00,Axon launches next generation body camera with more features to never miss a moment,
10/04/2023 00:00:00,Axon Recognizes Public Safety Heroes,
15/03/2023 00:00:00,Axon Appoints New Board Members,
28/02/2023 00:00:00,Axon 2022 Revenue Grows 38% to $1.2 Billion,
07/02/2023 00:00:00,"Axon to Release Fourth Quarter 2022 Earnings on February 28, 2023",
24/01/2023 00:00:00,Axon Unveils TASER 10,
20/12/2022 00:00:00,AXON CLOUD UPGRADED TO HIGHEST LEVEL OF SECURITY STATUS BY US GENERAL SERVICES ADMINISTRATION,
06/12/2022 00:00:00,Axon Announces Upsize and Pricing of Convertible Senior Notes Offering,
05/12/2022 00:00:00,Axon Announces Proposed Convertible Senior Notes Offering,
08/11/2022 00:00:00,"Axon Reports Record Q3 2022 Revenue of $312 Million, Up 34% YOY, Raises Full-Year Outlook",
25/10/2022 00:00:00,"Axon to Release Third Quarter 2022 Earnings on November 8, 2022",
20/10/2022 00:00:00,Axon Launches Moonshot Goal and Rallies Support to Cut Gun-Related Deaths Between Police and Public by 50% in 10 Years,
13/10/2022 00:00:00,"Department of Veterans Affairs to Outfit VA Police with Axon Body, In-Car Cameras",
05/10/2022 00:00:00,Axon Expands Ethics and Equity Advisory Council to United Kingdom,
27/09/2022 00:00:00,Axon Appoints Andrea James as Chief Communications Officer,
07/09/2022 00:00:00,Wellstar Health Partners with Axon to Enhance Hospital Security and De-Escalation,
01/09/2022 00:00:00,Axon's New Ethics and Equity Advisory Council to Deliver Input from Community Voices on the Development of Public Safety Technologies,
19/08/2022 00:00:00,Fairfax County PD Deploys Axon's My90 Feedback Tool to Better Engage with Community,
10/08/2022 00:00:00,Axon Names Brittany Bagley as New Chief Financial Officer and Chief Business Officer,
09/08/2022 00:00:00,Axon Reports Record Revenue Up 31% to $286 million; Raises Full-Year Outlook,
27/07/2022 00:00:00,"Axon to Release Second Quarter 2022 Earnings on August 9, 2022",
18/07/2022 00:00:00,Several Major Cities Across Canada to Deploy Axon's TASER 7 Device,
13/07/2022 00:00:00,Axon Appoints Isaiah Fields as Chief Legal Officer,
09/06/2022 00:00:00,Axon Appoints Josh Isner as Chief Operating Officer,
02/06/2022 00:00:00,Axon Announces TASER Drone Development to Address Mass Shootings,
25/05/2022 00:00:00,Axon Announces 2022 RISE Award Winners,
24/05/2022 00:00:00,Axon Announces Availability of VR Simulator Training for Public Safety to Increase De-Escalation Training,
23/05/2022 00:00:00,Axon and Skydio Announce New Integration of Skydio Autonomous Drones with Axon Respond for Public Safety,
19/05/2022 00:00:00,Axon and Fūsus Partner to Provide Enhanced Real-Time Community Policing Solutions,
10/05/2022 00:00:00,"Axon Reports Q1 2022 Revenue Up 32% to $256 million, Raises Full Year Outlook",
