Date,Description,Link,EarningRelated
26/03/2020 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2019 Results,,1
15/03/2020 00:00:00,lululemon athletica Provides Business Update on COVID-19,,0
12/03/2020 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2019 Earnings Conference Call,,1
21/02/2020 00:00:00,lululemon athletica inc. Provides Update on China Operations,,0
13/01/2020 00:00:00,lululemon athletica inc. Updates Guidance for the Fourth Quarter of Fiscal 2019 Ahead of the ICR Conference,,0
08/01/2020 00:00:00,lululemon Appoints Nikki Neuburger Chief Brand Officer,,0
11/12/2019 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2019 Results,,1
09/12/2019 00:00:00,lululemon Announces Departure of Chief Operating Officer,,0
27/11/2019 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2019 Earnings Conference Call,,1
08/10/2019 00:00:00,lululemon and the United Nations Foundation Launch New Program to Address Mental and Physical Health of UN Humanitarian Aid Workers,,0
05/09/2019 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2019 Results,,1
22/08/2019 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2019 Earnings Conference Call,,1
17/07/2019 00:00:00,Stephanie Ferris Joins lululemon Board of Directors,,0
18/06/2019 00:00:00,lululemon Launches Selfcare Line Designed By Athletes For Athletes,,0
12/06/2019 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2019 Results,,1
29/05/2019 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2019 Earnings Conference Call,,1
24/04/2019 00:00:00,lululemon Unveils “Power of Three” Strategic Plan to Accelerate Growth,,0
17/04/2019 00:00:00,lululemon athletica inc. Announces Upcoming Analyst Day,,0
28/03/2019 00:00:00,lululemon athletica inc. Announces Repurchase of One Million Shares from Advent International Corporation,,0
27/03/2019 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2018 Results; Board of Directors Authorizes $500.0 Million Stock Repurchase Program,,1
13/03/2019 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2018 Earnings Conference Call,,1
14/01/2019 00:00:00,lululemon athletica inc. Updates Guidance for the Fourth Quarter of Fiscal 2018 Ahead of the ICR Conference,,0
06/12/2018 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2018 Results,,1
03/12/2018 00:00:00,lululemon athletica inc. Announces Date Change for its Third Quarter Fiscal 2018 Earnings Conference Call,,1
21/11/2018 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2018 Earnings Conference Call,,1
18/09/2018 00:00:00,lululemon athletica inc. Names Sun Choe Chief Product Officer,,0
30/08/2018 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2018 Results,,1
16/08/2018 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2018 Earnings Conference Call,,1
24/07/2018 00:00:00,lululemon athletica inc. Appoints Calvin McDonald Chief Executive Officer,,0
18/06/2018 00:00:00,lululemon to Donate 100 Percent of Profits from Sales* on June 21 to Increase Access to Yoga and Meditation Through Non-profit Partners,,0
07/06/2018 00:00:00,lululemon athletica inc. Announces Repurchase of 3.3 Million Shares from Advent International Corporation,,0
31/05/2018 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2018 Results,,1
17/05/2018 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2018 Earnings Conference Call,,1
16/04/2018 00:00:00,lululemon athletica Names Patrick Guido Chief Financial Officer,,0
27/03/2018 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2017 Results,,1
13/03/2018 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2017 Earnings Conference Call,,1
05/02/2018 00:00:00,lululemon athletica inc. CEO Laurent Potdevin Resigns,,0
08/01/2018 00:00:00,lululemon athletica inc. Updates Guidance for Fourth Quarter of Fiscal 2017 Ahead of Presentation at the ICR Conference,,0
19/12/2017 00:00:00,lululemon athletica inc. Announces Participation in the ICR Conference 2018,,0
06/12/2017 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2017 Results,,1
22/11/2017 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2017 Earnings Conference Call,,1
09/11/2017 00:00:00,lululemon athletica inc. Announces Leadership Change,,0
31/08/2017 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2017 Results,,1
31/08/2017 00:00:00,Tricia Patrick Joins lululemon Board of Directors,,0
17/08/2017 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2017 Earnings Conference Call,,1
19/06/2017 00:00:00,Lululemon Announces Strategic Partnership With 7mesh,,0
05/06/2017 00:00:00,lululemon athletica inc. Announces Participation in the William Blair 37th Annual Growth Stock Conference,,0
01/06/2017 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2017 Results and Plan to Restructure Its ivivva Operations,,1
18/05/2017 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2017 Earnings Conference Call,,1
07/04/2017 00:00:00,Glenn Murphy joins lululemon athletica Board of Directors,,0
29/03/2017 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2016 Results,,1
15/03/2017 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2016 Earnings Conference Call,,1
09/01/2017 00:00:00,lululemon athletica inc. Updates Guidance for Fourth Quarter of Fiscal 2016 Ahead of Presentation at the ICR Conference,,0
23/12/2016 00:00:00,lululemon athletica inc. Announces Participation in the ICR Conference 2017,,0
12/12/2016 00:00:00,"lululemon athletica Promotes Celeste Burgoyne to Executive Vice President, Retail, Americas",,0
07/12/2016 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2016 Results; Board of Directors Authorizes $100 Million Stock Repurchase Program,,1
23/11/2016 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2016 Earnings Conference Call,,1
01/09/2016 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2016 Results,,1
18/08/2016 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2016 Earnings Conference Call,,1
09/06/2016 00:00:00,lululemon athletica inc. Announces Participation in the Jefferies 2016 Consumer Conference,,0
08/06/2016 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2016 Results,,1
25/05/2016 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2016 Earnings Conference Call,,1
19/04/2016 00:00:00,Jon McNeill Joins lululemon athletica Board of Directors,,0
30/03/2016 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2015 Results,,1
14/03/2016 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Fiscal Year 2015 Earnings Conference Call,,1
02/02/2016 00:00:00,Chip Wilson Exercises lululemon Board Nomination Right with Appointment of Kathryn Henry,,0
