Date,Description,Link,EarningRelated
21/05/2020 00:00:00,Under Armour To Offer $400 Million Convertible Senior Notes Due 2024,,0
18/05/2020 00:00:00,Under Armour Board Of Directors Names Mohamed A. El-Erian As Lead Independent Director,,0
11/05/2020 00:00:00,Under Armour Reports First Quarter 2020 Results and Highlights Efforts to Manage Through Impacts of COVID-19,,1
20/04/2020 00:00:00,Under Armour Announces First Quarter 2020 Earnings And Conference Call Date,,1
15/04/2020 00:00:00,Under Armour Names Lisa Collier As Chief Product Officer,,0
03/04/2020 00:00:00,"Under Armour Announces Actions To Address Financial Impacts Related To COVID-19, Provides Additional Detail On Its 2020 Restructuring Plan",,0
15/03/2020 00:00:00,"Under Armour, Inc. Statement",,0
11/02/2020 00:00:00,Under Armour Reports Fourth Quarter and Full Year 2019 Results; Provides Initial 2020 Outlook,,1
05/02/2020 00:00:00,Under Armour Announces Colin Browne As Chief Operating Officer And Paul Fipps As Chief Experience Officer,,0
28/01/2020 00:00:00,Under Armour Announces Fourth Quarter And Full Year 2019 Earnings And Conference Call Date,,1
04/11/2019 00:00:00,Under Armour Reports Third Quarter Results; Updates 2019 Full Year Outlook,,1
22/10/2019 00:00:00,"Patrik Frisk To Become Chief Executive Officer Of Under Armour On January 1, 2020",,0
17/10/2019 00:00:00,Under Armour Announces Third Quarter Earnings And Conference Call Date,,1
05/09/2019 00:00:00,Under Armour Names Stephanie Pugliese As President Of Its North American Business,,0
30/07/2019 00:00:00,Under Armour Reports Second Quarter Results; Updates 2019 Full Year Outlook,,1
16/07/2019 00:00:00,Under Armour Announces Second Quarter Earnings And Conference Call Date,,1
02/05/2019 00:00:00,Under Armour Announces New Reporting Segment,,0
02/05/2019 00:00:00,Under Armour Reports First Quarter Results; Updates 2019 Full Year Outlook,,1
18/04/2019 00:00:00,Under Armour Announces First Quarter Earnings And Conference Call Date,,1
18/03/2019 00:00:00,Under Armour Names Chief Design Officer,,0
14/03/2019 00:00:00,Under Armour's Social Compliance Program Accredited by the Fair Labor Association,,0
12/02/2019 00:00:00,Under Armour Reports Fourth Quarter And Full Year 2018 Results; Reiterates 2019 Outlook,,1
29/01/2019 00:00:00,Under Armour Announces Fourth Quarter and Full Year 2018 Earnings and Conference Call Date,,1
23/01/2019 00:00:00,Under Armour Names Tchernavia Rocker as Chief People and Culture Officer,,0
12/12/2018 00:00:00,Under Armour Presents 2023 Strategic Growth Plan; Updates 2018 And Provides Initial Full Year 2019 Outlook,,0
03/12/2018 00:00:00,"Under Armour To Host Investor Day On December 12, 2018",,0
30/10/2018 00:00:00,Under Armour Reports Third Quarter Results; Updates Full Year 2018 Outlook,,1
16/10/2018 00:00:00,Under Armour Announces Third Quarter 2018 Earnings and Conference Call Date,,1
25/09/2018 00:00:00,Under Armour Announces Two New Senior Executives In Marketing And Digital,,0
20/09/2018 00:00:00,Under Armour Updates 2018 Restructuring Plan And Full Year 2018 Outlook,,0
06/08/2018 00:00:00,Under Armour Appoints Mohamed El-Erian To Its Board Of Directors,,0
26/07/2018 00:00:00,Under Armour Reports Second Quarter 2018 Results,,1
12/07/2018 00:00:00,Under Armour Announces Second Quarter 2018 Earnings and Conference Call Date,,1
02/07/2018 00:00:00,Under Armour Strengthens Regional Structure With New Executive Management Appointments And Asia Pacific Headquarters In Hong Kong,,0
01/05/2018 00:00:00,Under Armour Reports First Quarter Results,,1
19/04/2018 00:00:00,"Under Armour And Dwayne Johnson Challenge You To Answer ""How Are You Going To Get Here?"" In New Global Training Campaign",,0
12/04/2018 00:00:00,Under Armour Announces First Quarter 2018 Earnings And Conference Call Date,,1
29/03/2018 00:00:00,Under Armour Notifies MyFitnessPal Users Of Data Security Issue,,0
28/02/2018 00:00:00,Under Armour Announces Retirement of Chief Revenue Officer,,0
13/02/2018 00:00:00,Under Armour Reports Fourth Quarter And Full Year Results; Announces Outlook For 2018,,1
23/01/2018 00:00:00,Under Armour Announces Fourth Quarter 2017 Earnings And Conference Call Date,,1
11/12/2017 00:00:00,Under Armour Announces New Senior Management Additions In Europe And Communications,,0
04/12/2017 00:00:00,Under Armour Announces Strategic Changes In Its Digital Business,,0
04/12/2017 00:00:00,Under Armour Names David Bergman As Chief Financial Officer,,0
31/10/2017 00:00:00,Under Armour Reports Third Quarter Results,,1
10/10/2017 00:00:00,Under Armour Announces Third Quarter 2017 Earnings And Conference Call Date,,1
14/09/2017 00:00:00,"Under Armour Introduces Global Innovation Hub For Footwear Design In Portland, OR",,0
30/08/2017 00:00:00,"Under Armour, Inc. To Present At The 24th Annual Goldman Sachs Global Retailing Conference",,0
28/08/2017 00:00:00,Under Armour Donates to Team Rubicon to Serve Those Affected by Hurricane Harvey,,0
14/08/2017 00:00:00,"KEVIN PLANK, UNDER ARMOUR FOUNDER AND CEO STATEMENT:",,0
01/08/2017 00:00:00,Under Armour Reports Second Quarter Results,,1
11/07/2017 00:00:00,Under Armour Announces Second Quarter 2017 Earnings And Conference Call Date,,1
27/06/2017 00:00:00,Under Armour Announces Patrik Frisk As President And Chief Operating Officer,,0
02/06/2017 00:00:00,UNDER ARMOUR STATEMENT - PARIS CLIMATE AGREEMENT,,0
25/05/2017 00:00:00,Under Armour Announces The 2017 Tom Brady Asia Tour Powered By Under Armour,,0
