Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Reported Fiscal Yr  (yyyymm),Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.,EBITDA ($mil),EBIT ($mil),Net Income  ($mil),Cash Flow ($mil),Pretax Income ($mil),Receivables ($mil),Inventory ($mil),Book Value,Common Equity ($mil),Preferred Equity ($mil),Long Term Debt ($mil),Current Liabilities ($mil),Current Assets  ($mil),Intangibles ($mil),Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Annual Sales ($mil),Beta
"Atmos Energy","ATO","16085.91","NYSE","9","Utilities","Utility - Gas Distribution","108.76","202309","5.6","6.46","6.9","1499.51501","954.71899","774.39801","1319.19396","851.90802","363.708","357.941","71.42","9419.09082","0","5760.64697","3602.60009","3047.69311","731.25701","38.519",".62652",".86","","","4201.66",".64"
"AptarGroup","ATR","8032.01","NYSE","12","Industrial Products","Containers - Paper and Packaging","123.43","202212","3.79","4.57","4.96","609.23699","375.531","239.28799","486.30599","334.70401","676.98699","486.80599","33.34","2068.2041","0","1052.59704","917.17602","1430.29101","1261.37597","30.267",".43403","1.47","1.03",".29056","3322.25",".62"
"ATS Corporation","ATS","3475.98","NYSE","3","Industrial Products","Manufacturing - General Industrial ","34.39","202303","1.79","2.04","2.14","245.044","168.313","96.40299","241.591","120.86699","313.87298","194.319","11.51","855.28601","0","929.71997","789.46197","1098.41796","1294.729","38.379",".62282","1.59","1.15",".74763","1949.72",""
"AngloGold Ashanti PLC","AU","7857.13","NYSE","12","Basic Materials","Mining - Gold","19.17","202212","1.29","1.13","1.49","1122","489","297","1177","489","237","773","9.75","4134","0","1965","859","2145","106","31.722",".46459","2.17","1.6","1.3213","4501",".71"
"Atlantic Union Bankshares","AUB","2080.63","NYSE","12","Finance","Banks - Northeast","28.23","202212","2.92","2.93","3.08","348.656","299.927","234.50999","279.608","279.95401","14338.37011","3.936","31.85","2372.56396",".17299","389.863","17250.50976","14662.25976","951.97198","14.05799",".16358",".89",".85",".01854","778.96","1.04"
"Reinvent Technology Partners Y","AUR","2658.28","NSDQ","12","Business Services","Technology Services","1.78","202212","-.54","","","-587","-1723","-1723","527","-1723","0","0",".98","1784","0","0","83","1118","618","0","0","9.36","13.47","13.46987","68","2.61"
"Avista","AVA","2415.9","NYSE","12","Utilities","Utility - Electric Power","32.15","202212","2.12","2.31","2.42","508.07501","252.95899","155.17599","410.29199","137.985","255.746","107.674","31.37","2334.66796","0","2332.56005","964.53399","721.802","52.42599","51.818","1.07545",".97",".64",".37155","1710.21",".51"
"Grupo Aval Acciones y Valores","AVAL","2730.5","NYSE","12","Finance","Financial - Investment Management","2.32","202212",".33",".28",".37","2254.56689","2036.46704","496.57699","601.25799","1254.87402","40499.28125","0","33.69","6164.33203","0","5672.44384","43419.14062","46274.1289","3506.21606","45.25",".82649","1.06","1.07",".133","6598.48","1.16"
"AeroVironment","AVAV","3178.51","NSDQ","4","Aerospace","Aerospace - Defense Equipment","114.64","202304","1.26","2.8","3.21","77.97699","-179.00901","-176.21201","288.647","-188.377","193.28599","138.81399","21.85","550.96997","0","125.90399","121.33399","477.00201","224.378","17.103",".20631","4.49","2.79","1.19424","540.54",".53"
"AvalonBay Communities","AVB","23458.13","NYSE","12","Finance","REIT and Equity Trust - Residential","167.78","202212","9.79","10.59","11.13","2011.14404","1151.08398","1136.77502","1996.83496","1151.08398","0","0","83.21","11253.5498","0","8316.04492","360.28601","734.24499","0","40.56499",".68237","2.49","2.04","2.03795","2593.45",".93"
"Broadcom","AVGO","350672.47","NSDQ","10","Computer and Technology","Electronics - Semiconductors","826.75","202210","37.64","42.16","45.91","19155","14171","11495","21510","12434","2958","1925","53.49","22709","0","39075","7052","18504","50725","63.38499","1.73114","2.5","2.35","1.9315","33203","1.13"
"Avient","AVNT","2850.82","NYSE","12","Basic Materials","Chemical - Diversified ","31.52","202212","2.69","2.42","2.89","381.1","183.6","703.09997","445.5","63.79999","440.6","372.70001","25.84","2352.80004","0","2176.69995","869.40002","1569.69995","3269.5","48.075",".92586","1.95","1.38",".87002","3396.9","1.56"
"Avnet","AVT","4146.7","NSDQ","6","Computer and Technology","Electronics - Parts Distribution","46.06","202306","8.06","5.67","6.56","1376.75","1233.74499","770.828","895.77801","982.87597","4763.78808","5465.03076","51.99","4751.66894","0","2988.02905","4249.37792","10750.8496","780.62902","38.60699",".62883","2.53","1.24",".12284","26536.88","1.34"
"Avantor","AVTR","13079.02","NYSE","12","Medical","Medical Services","19.52","202212","1.41","1.06","1.19","1538.09997","1116.90002","686.5","1376.69995","851.09997","1218.40002","913.5","7.41","4855.3999","0","5923.2998","1658.80004","2657.8999","9785.90039","52.64099","1.11154","1.61","1.05",".31709","7512.4","1.28"
"Avery Dennison","AVY","13564.51","NYSE","12","Industrial Products","Office Supplies","170.85","202212","9.15","8.04","9.65","1374.09997","1083.40002","757.09997","1043.09997","999.29998","1374.40002","1009.90002","25.61","2032.19995","0","2503.5","2799.80004","2782","2702.69995","55.728","1.25877","1.03",".63",".14204","9039.3",".95"
"Armstrong World Industries","AWI","3203.95","NYSE","12","Construction","Building Products - Miscellaneous","73.23","202212","4.74","5.04","5.45","369","284.70001","202.89999","304.29998","257.6","114.19999","110","13.25","535","0","665.70001","182.69999","356.5","575","51.78699","1.07412","1.88","1.35",".72413","1233.1","1.14"
"American Water Works","AWK","22678.9","NYSE","12","Utilities","Utility - Water Supply","118.02","202212","4.51","4.8","5.12","2090","1441","820","1469","1008","448","98","49.83","7693","0","10929","2811","1250","1143","54.477","1.19668","1.13",".41",".25044","3792",".6"
"American States Water","AWR","2841.3","NYSE","12","Utilities","Utility - Water Supply","78.52","202212","2.28","2.96","2.95","170.78399","129.087","78.396","126.38999","102.05999","69.29599","14.623","20.42","709.54901","0","468.54699","396.522","151.294","1.116","52.04199","1.08517","1.2",".34",".16991","491.53",".41"
"Axos Financial","AX","2187","NYSE","6","Finance","Financial - Miscellaneous Services","37.83","202306","5.07","5.42","5.74","488.05099","466.27999","307.165","328.936","431.74398","16830.80078","23.979","32.3","1917.15905","0","521.61102","17819.69921","19237.63085","177.59199","21.388",".27207","1.08","1.08",".13372","1277.63","1.5"
"Axonics","AXNX","2564.92","NSDQ","12","Medical","Medical Info Systems","49.7","202212","-1.28","-.33",".11","-48.161","-59.882","-59.69801","-47.97701","-62.31601","44.817","55.76499","11.9","570.13897","0","0","65.247","465.07501","180.667","0","0","14.19","6.27","5.58635","273.7",".44"
"Axon Enterprise","AXON","15540.36","NSDQ","12","Industrial Products","Security and Safety Services","204.57","202212","2.19","3.55","3.82","219.634","196.518","147.139","182.02699","196.518","358.19","202.47099","19.56","1268.49096","0","673.96697","602.64599","1805.27795","57.14099","31.856",".46748","3.38","2.66","2.06525","1189.94",".88"
"American Express","AXP","104589.57","NYSE","12","Finance","Financial - Miscellaneous Services","143.34","202212","9.85","11.14","12.46","12447","10821","7514","9140","9585","166958","0","37.49","24711","0","42573","123720","200872","0","62.96099","1.69986","1.6","1.62",".27411","52862","1.19"
"Axis Capital Holdings","AXS","4756.2","NYSE","12","Finance","Insurance - Property and Casualty","56.11","202212","5.81","8.59","9.26","400.69699","306.27099","223.08299","622.60699","243.125","10765.15039","0","52.48","4089.90991","550","1413.39501","21053.07031","12010.11035","298.60101","22.773",".33116",".59",".57",".05913","5135.44",".81"
"Axsome Therapeutics","AXSM","3014.56","NSDQ","12","Medical","Medical - Biomedical and Genetics","64.05","202212","-4.42","-4.21","-2.79","-172.752","-179.799","-187.13401","-172.65","-187.13401","37.699","4.32","6.4","109.55599","0","94.259","96.56099","245.641","69.971","38.80799",".6342","4.52","2.5","2.10873","50.04","1.91"
"Axalta Coating Systems","AXTA","5642.31","NYSE","12","Basic Materials","Chemical - Specialty","25.72","202212","1.48","1.46","1.74","709.79998","397.1","191.6","642.40002","257.29998","1067.40002","829.59997","7.62","1499.5","0","3673.30004","1384.69995","2692.69995","2610.30004","67.63099","2.08934","2.02","1.35",".57463","4884.4","1.45"
"Acuity Brands","AYI","4978.93","NYSE","8","Construction","Building Products - Lighting","159.11","202308","14.05","13.38","13.82","558.79998","465.6","346","545.20001","446.70001","555.29998","368.5","64.61","2015.40002","0","495.6","595.40002","1395.19995","1613.5","19.73699",".2459","2.34","1.72",".79173","3952.2","1.49"
"Alteryx","AYX","2207.58","NYSE","12","Computer and Technology","Internet - Software","31.36","202212","0",".65","1.08","-263.266","-304.03699","-318.499","40.43199","-313.77802","259.58999","0",".73","173.656","0","792.92102","512.41198","747.14801","458.992","95.95999","23.75","2.61","1.46",".95149","855.35",".42"
"AZEK","AZEK","3760.88","NYSE","9","Construction","Building Products - Air Conditioner and Heating","25.42","202309",".97","1.03","1.1","247.468","128.93499","75.22499","267.80099","103.97899","90.15899","299.90499","9.23","1444.44299","0","584.87902","182.49099","530.59399","1239.82995","28.794",".40437","3.41","","","1355.59","1.71"
"AstraZeneca","AZN","199038.92","NSDQ","12","Medical","Large Cap Pharmaceuticals","63.41","202212","3.33","3.66","4.19","9327","3847","3288","15788","2501","11252","4699","12.07","37058","0","22965","26293","22593","59127","39.402",".65022",".87",".68",".25261","44351",".49"
"AutoZone","AZO","43078.93","NYSE","8","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","2450.73","202308","132.36","147.6","161.87","3724.22802","3473.98608","2528.42602","3035.26708","3167.61401","504.88598","5764.14306","-245.99","-4349.89405","0","7668.54882","8511.85644","6779.42578","302.64498","","-1.76293",".8",".12","","17457.21",".66"
"Aspen Technology","AZPN","11275.4","NSDQ","6","Computer and Technology","Internet - Software","180","202306","5.72","6.58","7.21","324.72198","-180.566","-107.76001","877.36499","-180.566","134.21299","0","201.5","13070.92968","0","0","352.427","833.06402","12990.46972","0","0","2.36","2.36","1.98296","1044.18",".87"
"Azenta","AZTA","2861.91","NSDQ","9","Medical","Medical Info Systems","47.84","202309",".51",".29",".79","46.46099","-5.34701","2132.85888","90.007","-9.936","163.75799","85.54399","41.79","3363.38598","0","0","230.546","2459.34594","692.02398","0","0","7.42","","","555.5","1.51"
"AZUL","AZUL","3228.92","NYSE","12","Transportation","Transportation - Airline","7.99","202212","-3.71","-1.91","-.15","1194.328","788.63299","-139.92301","-110.96801","-139.92301","394.93301","139.80099","-9.43","-3681.75293","0","1454.43298","2916.36694","943.69396","276.31799","","-.35775",".28",".28",".14022","3088.84","1.46"
"Boeing","BA","106921.21","NYSE","12","Aerospace","Aerospace - Defense","179.09","202212","-11.06","-4.15","4.49","-482","-2461","-4935","-4598.75196","-5022","11305","78151","-27.79","-15848","0","51811","90052","109523","10368","","-2.83431","1.15",".35",".22283","66608","1.45"
"Alibaba","BABA","207902.89","NYSE","3","Retail-Wholesale","Internet - Commerce","82.51","202303","7.94","8.99","9.6","20682","13848","10598","27801","12986","0","0","59.22","162075","0","21709","56111","101632","45868","12.824",".13834","1.92","1.81","1.81126","126491",".7"
"Bank of America","BAC","203029.78","NYSE","12","Finance","Banks - Major Regional","26.12","202212","3.19","3.43","3.25","50404","46354","27528","31578","30969","1100608","6871","32.55","244800","28397","275982","2457380","1908623","69022","50.28499","1.12252",".83",".77",".32601","115053","1.36"
"Booz Allen Hamilton","BAH","15647.89","NYSE","3","Business Services","Government Services","121.35","202303","4.56","5.02","5.56","657.63299","487.79901","271.79098","774.86798","367.949","1774.82995","0","7.76","992.00201","0","2770.89501","1897.05395","2288.0581","3024.01391","73.082","2.71498","1.21","1.21",".27053","9258.91",".62"
"Braskem","BAK","3197.81","NYSE","12","Oils-Energy","Oil and Gas - Integrated - International","7.1","202212","-.16","","-1.52","2022.84899","1106.03503","-65.02101","851.79998","9.17099","1066.84399","2717.62304","3.02","1183.16198","0","9168.62695","4684.68212","6674.44824","585.38897","87.61799","7.0762","1.49",".84",".6169","18693.95","1.76"
"Ball","BALL","14322.56","NYSE","12","Industrial Products","Containers - Metal and Glass","47","202212","2.78","3.01","3.35","1886","1214","719","1563","884","2594","2179","12.41","3527","0","7540","7008","5489","5652","65.78199","1.9224",".78",".47",".10216","15349",".82"
"Brookfield Asset Management Ltd.","BAM","12301.32","NYSE","12","Finance","Financial - Miscellaneous Services","29.65","202212","1.17","1.32","1.56","","","1915","1915","","","","5.41","","","","","","","0","0",".92","","","3759",""
"BancFirst","BANF","2687.72","NSDQ","12","Finance","Banks - Southwest","81.79","202212","5.77","6.33","5.44","268.22198","241.61399","193.1","219.70799","237.432","7152.38476","6.23199","40.75","1250.83605","0","86.04399","11050.98046","10330.37988","202.03799","6.03229",".06419",".94",".93",".28701","603.57","1.08"
"Credicorp","BAP","10142.84","NYSE","12","Finance","Banks - Foreign","128.02","202212","14.99","17.65","19.06","2413.60791","2235.36108","1195.802","1374.18798","1769.505","37030.5","0","104.28","7634.52294","0","4389.55712","43888.53906","45853.35156","748.34301","31.72299",".46463","1.01","1.04",".20102","4844.74","1"
"Atlanta Braves Holdings, Inc.","BATRA","2360.76","NSDQ","12","Conglomerates","Diversified Operations","37.99","202212","","-1.13",".01","","","","","","","","","","","","","","","81.51399","2.87316","1.2","","","",""
"Atlanta Braves Holdings, Inc.","BATRK","2147.21","NSDQ","12","Conglomerates","Diversified Operations","34.44","202212","","-1.66","-.18","","","","","","","","","","","","","","","","","","","","",""
"Baxter International","BAX","16285.98","NYSE","12","Medical","Medical - Products","32.45","202212","3.5","2.55","3.01","2601","-1958","-2433","6331","-2353","2659","2718","11.12","5895","0","15232","4745","8011","13636","71.75599","2.54057","1.42","1.12",".55511","15113",".62"
"BlackBerry","BB","2025.58","NYSE","2","Computer and Technology","Computer - Software","3.44","202302","-.18",".04",".01","-370","-720","-734","247","-720","135","0","1.42","857","0","0","729","743","798","0","0",".9","1.02",".83401","656","1.54"
"Banco Bradesco","BBD","30163.52","NYSE","12","Finance","Banks - Foreign","2.92","202212",".35",".36",".49","23030.23437","21933.26757","4064.54101","5102.27001","4689.46679","141574","0","3.04","30748.17968","0","18508.7207","222198.90625","165306.40625","3641.52392","68.67099","2.1919",".7",".74",".1068","35237.55",".77"
"Banco Bradesco","BBDO","26326.47","NYSE","12","Finance","Banks - Foreign","2.63","202212",".35","","","23030.23437","21933.26757","4064.54101","5102.27001","4689.46679","141574","0","3.04","30748.17968","0","18508.7207","222198.90625","165306.40625","3641.52392","68.67099","2.1919",".7",".74",".1068","35237.55",".91"
"BridgeBio Pharma","BBIO","3969.19","NSDQ","12","Medical","Medical - Generic Drugs","25.07","202212","-3.79","-3.51","-2.87","-397.443","-404.21399","-481.18302","-552.00501","-484.65201","17.079","0","-8.36","-1243.33497","0","1707.61499","121.428","548.85302","28.71199","","-1.27332","3.93","4.52","4.37933","77.65","1"
"Banco Bilbao Viscaya Argentaria","BBVA","46411.38","NYSE","12","Finance","Banks - Foreign","7.82","202212","1.11","1.33","1.45","12451.44042","11052.25976","6975.88623","8635.66015","11052.25976","398740.1875","342.42001","9.61","53327.96093","0","58400","597096.1875","606973.6875","2271.56201","54.575","1.20145","1.01","1.02",".34817","26228.66","1.29"
"Bath & Body Works, Inc.","BBWI","6393.95","NYSE","1","Retail-Wholesale","Retail - Miscellaneous","28.69","202301","3.4","3.1","3.66","1614","1393","800","1015","1045","226","709","-9.47","-2205","0","4862","1379","2266","793","","-2.16714","1.56","1.13",".96519","7560","1.74"
"Best Buy","BBY","14710.16","NYSE","1","Retail-Wholesale","Retail - Consumer Electronics","66.11","202301","7.08","6.22","6.83","2741","1823","1419","2515","1788","1141","5140","13.03","2795","0","1160","8979","8802","1383","28.76899",".40388",".98",".41",".28076","46298","1.54"
"Brunswick","BC","4862.95","NYSE","12","Consumer Discretionary","Leisure and Recreation Products","67.92","202212","10.03","9.25","9.45","1182.90002","951.70001","677","985.44396","853.59997","543","1471.40002","29.72","2042.30004","0","2420","1489.90002","2695.19995","1965","53.54399","1.15256","1.92",".82",".45694","6812.2","1.53"
"Boise Cascade","BCC","3548.04","NYSE","12","Construction","Building Products - Wood","90.81","202212","21.56","11.8","10.82","1275.67199","1171.79296","857.65802","961.53698","1146.38098","320.27899","697.55102","54.78","2057.97509","0","474.414","545.828","2064.052","299.39099","17.93499",".21853","3.44","2.5","1.91676","8387.31","1.56"
"BCE","BCE","33863.62","NYSE","12","Utilities","Diversified Communication Services","37.13","202212","2.58","2.36","2.43","7508.93115","3875.99902","2206.06591","6145.88623","2994.49609","3182.94995","504.595","14.4","14341.73535","2976.80395","21370.67968","8821.95507","4989.7998","20836.85937","56.89799","1.60255",".55",".51",".14761","18594.47",".62"
"Banco De Chile","BCH","9914.83","NYSE","12","Finance","Banks - Foreign","19.53","202212","3.28","2.57","2.35","2001.13696","1908.51098","1590.37902","1750.42602","1908.51098","40404.03906","0","12.54","5974.58105","0","16132.19042","32112.55078","49896.05078","154.033","74.871","2.97939","1.56","1.55",".29558","3354.8",".41"
"Brink's","BCO","3141.2","NYSE","12","Business Services","Outsourcing","66.27","202212","5.99","6.8","7.78","610.79998","365","170.6","532.20001","226.19999","862.20001","0","14.31","570.20001","0","3273.19995","1674.80004","2597.3999","1986.40002","83.036","4.89491","1.55","1.55","1.03606","4535.5","1.33"
"Balchem","BCPC","3903.27","NSDQ","12","Basic Materials","Chemical - Specialty","121.68","202212","3.25","3.47","3.91","195.865","144.01699","105.36699","157.21499","133.74899","131.578","119.66799","31.23","938.28399","0","469.596","140.042","335.803","982.80401","29.583",".4201","2.94","1.54",".60379","942.36",".72"
"Barclays","BCS","25317.01","NYSE","12","Finance","Banks - Foreign","6.42","202212","1.52","1.61","1.77","10882.24707","8673.14257","7332.34277","8423.5","8673.14257","493249.8125","0","22.45","85667.70312","0","489739.40625","798738.125","1116075","10190.82031","86.46099","6.38582","1.36","1.4",".77976","30875.26","1.35"
"Belden","BDC","2904.13","NYSE","12","Industrial Products","Wire and Cable Products","71.32","202212","6.41","6.91","6.39","449.68499","360.94699","254.66299","374.10101","317.393","440.10198","341.56298","27.33","1143.94995","0","1161.17602","639.919","1536.20703","1109.083","50.51399","1.02077","2.53","1.87","1.17912","2606.49","1.28"
"Becton, Dickinson and Company","BDX","74143.05","NYSE","9","Medical","Medical - Dental Supplies","254.18","202309","11.35","13.49","14.94","4410","2181","1779","5579.56396","1783","2191","3224","89.4","25280","2","13886","7811","8141","36931","36.527",".57547","1.25","","","18870",".58"
"Bloom Energy","BE","2376.94","NYSE","12","Oils-Energy","Alternative Energy - Other","10.86","202212","-.41","-.23",".32","-195.85601","-260.49601","-301.40799","-11.08801","-313.98902","250.99499","268.39401","1.66","378.816","0","827.61901","541.94598","1055.96301","0","79.847","3.96212","2.14","1.45",".99008","1199.13","2.85"
"Beacon Roofing Supply","BECN","4335.34","NSDQ","12","Retail-Wholesale","Building Products - Retail","69.72","202212","6.87","6.78","7.27","862.59997","703.40002","458.39999","697.09997","619.70001","1009.09997","1322.90002","31.73","1904.09997","399.20001","1928.30004","1389.59997","2817.5","2364","41.942",".86498","1.69","1.08",".34938","8429.7","1.67"
"KE Hodlings","BEKE","19171.49","NYSE","12","Finance","Real Estate - Operations","15.3","202212",".34",".96","1.04","260.25299","42.379","-200.961","631.65698","42.379","766.49298","0","8.08","10011.95019","0","0","2891.88403","9622.28515","959.98602","0","0","3.34","3.33","3.06229","8796.15","-.9"
"Franklin Resources","BEN","11107.25","NYSE","9","Finance","Financial - Investment Management","22.75","202309","3.63","2.35","2.77","2270.19995","1827.59997","1291.90002","2298.19995","1729.40002","1264.80004","0","25.13","12298.90039","0","8834.0996","4525.60009","6047.2998","10860.70019","49.71599",".90495","1.89","","","8275.3","1.3"
"Brookfield Renewable Partners","BEP","6456.1","NYSE","12","Utilities","Utility - Electric Power","21.94","202212","-.6","-.21",".15","2943","1360","-93","1721","136","1983","0","96.08","25526","760","22574","4943","4183","1735","44.60499",".82725",".91",".85",".44507","4711",".84"
"Brookfield Renewable","BEPC","4299.08","NYSE","12","Oils-Energy","Alternative Energy - Other","23.74","202212","-.6","-.35","-.15","4179","3000","1503","1317","1968","1936","0","91.81","16824","0","12416","7251","3426","931","43.63899",".77428",".39",".47",".20548","4711","1.08"
"Berry Global Group","BERY","6397.48","NYSE","9","Industrial Products","Containers - Paper and Packaging","54.98","202309","7.4","7.95","8.83","2039","1220","766","1801.46398","934","1777","1802","28.41","3196","0","9242","2844","5164","6685","73.091","2.71626","1.87","","","14495","1.19"
"Brown Forman","BF.A","27353.97","NYSE","4","Consumer Staples","Beverages - Alcohol","57.37","202304","1.89","","","1187","1107","783","986","1017","855","2283","6.96","3268","0","2678","1084","3801","2621","44.59799",".80497","3.2","1.4",".61162","4228",".76"
"BrownForman","BF.B","26831.44","NYSE","4","Consumer Staples","Beverages - Alcohol","55.96","202304","1.89","2","2.2","1187","1107","783","986","1017","855","2283","6.96","3268","0","2678","1084","3801","2621","44.59799",".80497","3.2","1.4",".61162","4228",".74"
"Bright Horizons Family Solutions","BFAM","4311.81","NYSE","12","Consumer Discretionary","Schools","73.31","202212","2.6","2.7","3.48","259.92401","151.66799","80.64099","260.45498","112.18199","217.16999","0","19.87","1080.453","0","961.58099","786.294","347.70999","1973.42602","45.352",".82988",".44",".44",".16601","2020.49","1.22"
"Bunge Limited","BG","15392.64","NYSE","12","Basic Materials","Agriculture - Products","106.38","202212","13.91","12.31","11.63","2877","2469","1610","2539","2066","2829","8408","75.42","9956","0","3259","9600","16758","830","27.37899",".37665","2.07",".87",".5751","67232",".68"
"BGC Group, Inc.","BGC","2883.14","NSDQ","12","Finance","Financial - Investment Bank","5.93","202212",".69",".8",".91","282.77099","155.38299","48.712","471.229","97.45099","1167.76293","39.319","2.06","733.208","0","1049.21704","1277.02697","1709.09204","679.36798","62.98699","1.70177","1.44","1.31",".3931","1795.3","1.57"
"BeiGene","BGNE","16149.5","NSDQ","12","Medical","Medical - Biomedical and Genetics","165.85","202212","-19.43","-13.18","-8.12","-1894.75904","-1961.03699","-2003.81495","-1937.53699","-1961.03699","173.16799","282.346","39.31","4383.35498","0","209.14799","1468.52795","5207.07812","40.616","5.17789",".0546","3.13","3.35","3.23559","1415.92",".74"
"Bausch Health","BHC","2494.44","NYSE","12","Medical","Medical - Generic Drugs","6.73","202212","3.06","3.25","3.72","2828","1335","-225","2606","-129","1790","1090",".74","260","0","20334","3941","4247","17347","98.66999","74.19926","1.12",".8",".34686","8124",".97"
"Brighthouse Financial","BHF","2893.9","NSDQ","12","Finance","Insurance - Life Insurance","45.44","202212","10.93","15.2","17.48","-405","-172","5","675","-172","20151","0","74.36","6038","0","3156","41569","25347","0","38.82899",".63475",".79",".61",".12499","8473","1.3"
"BHP Group Limited","BHP","143540.03","NYSE","6","Basic Materials","Mining - Miscellaneous","56.72","202306","5.11","5.4","5.61","28522","23461","12921","18031","21401","4594","5220","19.16","48530","0","15172","19043","23351","1610","23.81699",".31263","1.23",".95",".71086","53817",".91"
"Baidu","BIDU","37311.58","NSDQ","12","Computer and Technology","Internet - Services","108.64","202212","8.54","10.24","12.98","4800","1888","1096","5910","1466","2489","0","97.53","33261","0","9161","11546","30860","4433","22.44",".25213","2.84","2.67","2.45721","17931",".74"
"Biogen","BIIB","35730.81","NSDQ","12","Medical","Medical - Biomedical and Genetics","241.08","202212","17.67","15.27","16.61","4110.20019","3591.80004","3046.8999","3098.3999","3591.80004","1705","1344.40002","99.85","13388.40039","0","6281","3272.80004","9791.20019","7599.10009","30.294",".4346","3.27","2.58","2.05994","10173.4",".14"
"Bilibili","BILI","5360.64","NSDQ","12","Computer and Technology","Internet - Services","13.25","202212","-2.45","-1.16","-.36","-513.01099","-1037.02698","-1086.96497","-446.19199","-1073.40699","423.86898","0","5.78","2209.53295","0","1258.93798","2478.31005","3545.33593","1022.43298","16.207",".19341","1.29","1.43","1.25951","3175.07","1.13"
"BILL Holdings, Inc.","BILL","9845.03","NYSE","6","Computer and Technology","Internet - Software","90.19","202306","1.65","1.93","2.29","-120.27501","-222.91701","-223.72501","297.061","-222.91701","486.88299","0","38.41","4085.96899","0","1704.78198","3753.43603","6673.16406","2757.93603","29.44",".41722","1.78","1.78","1.64816","1058.47","1.94"
"BioRad Laboratories","BIO","8434.14","NYSE","12","Medical","Medical - Products","291.53","202212","14.42","12.92","14.78","-4666.15918","-4666.15918","-3627.53492","432.57901","-4704.27295","494.64498","719.31597","290.51","9615.25195","0","1197.71594","568.708","3157.97607","738.635","12.425",".14187","5.39","4.29","3.4183","2802.25",".91"
"BioRad Laboratories","BIO.B","8751.94","NYSE","12","Medical","Medical - Biomedical and Genetics","301","202212","14.42","","","-4666.15918","-4666.15918","-3627.53492","432.57901","-4704.27295","494.64498","719.31597","290.51","9615.25195","0","1197.71594","568.708","3157.97607","738.635","12.425",".14187","5.39","4.29","3.4183","2802.25",".67"
"Brookfield Infrastructure Partners","BIP","10285.21","NYSE","12","Finance","REIT and Equity Trust - Other","22.5","202212","2.71","2.98","3.38","5948","3790","341","2565","1935","2628","531","60.39","24636","918","27202","8377","6686","20611","51.499","1.09626",".65",".73",".42103","14427",".9"
"Brookfield Infrastructure","BIPC","3630.83","NYSE","12","Utilities","Utility - Gas Distribution","27.03","202212","","","","2636","2425","1094","211","1881","1065","0","-6.9","-361","0","4249","4633","1567","3365","","-6.34294",".34",".34",".10835","1886","1.25"
"Birkenstock Holding PLC","BIRK","7362.76","NYSE","12","Consumer Discretionary","Shoes and Retail Apparel ","38.55","202212","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ's Wholesale Club","BJ","9345.16","NYSE","1","Consumer Discretionary","Consumer Services - Miscellaneous","70.47","202301","3.92","3.86","4.11","941.68499","737.98602","513.177","738.94097","690.52398","239.746","1378.55102","9.21","1046.83703","0","447.88","2545.34106","1703.24499","1124.32104","26.684",".36395",".71",".13",".03337","19315.16",".43"
"The Bank of New York Mellon","BK","32592.04","NYSE","12","Finance","Banks - Major Regional","42.12","202212","4.59","4.87","4.95","7671","5355","2573","6267","3328","66745","0","46.46","35903","4838","30855","325535","214805","19051","42.275",".82724",".71",".66",".45482","19991","1.09"
"Black Hills","BKH","3248.17","NYSE","12","Utilities","Utility - Electric Power","49.03","202212","3.97","3.75","","719.29901","458.54699","258.38699","519.15197","295.96301","525.82897","207.421","47.85","3089.89501","0","3607.34008","1666.68994","1071.708","1309.04296","55.25899","1.2351",".82",".52",".20307","2551.8",".61"
"Booking Holdings","BKNG","100399.18","NSDQ","12","Retail-Wholesale","Internet - Commerce","2742.6899","202212","99.83","143.79","172.57","4765","4314","3058","4449","3923","2229","0","-18.01","2782","0","12696","8474","15798","4636","91.775","-20.62256","1.55","1.86","1.60125","17090","1.33"
"Baker Hughes","BKR","34348.43","NSDQ","12","Oils-Energy","Oil and Gas - Field Services","35.02","202212",".89","1.53","2.05","1335","274","-601","1965","22","5958","4587","15.12","14525","0","5980","11075","14592","10110","27.69899",".3831","1.28",".9",".36541","21156","1.5"
"BlackLine","BL","3104.55","NSDQ","12","Computer and Technology","Internet - Software","50.17","202212",".64","1.54","1.75","-2.10801","-41.56101","-33.522","85.69599","-47.411","150.858","0","2.92","111.86799","0","1385.09094","367.82101","1249.56701","534.72497","88.90799","7.86628","3.62","3.4","2.98707","522.94",".87"
"Bausch + Lomb","BLCO","5710.49","NYSE","12","Medical","Medical Services","15.9","202212","1.07",".69",".93","606","219","6","762","73","724","628","20.06","7101","0","2411","1296","2137","6565","27.02899",".37041","1.75","1.16",".6057","3768",".27"
"TopBuild","BLD","6938.65","NYSE","12","Construction","Building Products - Miscellaneous","221.45","202212","17.11","18.52","19.78","925.05297","798.85101","555.98901","681.15502","742.135","836.07098","438.64401","70.47","1929.70605","0","1423.93005","789.63897","1549.04101","2581.96093","38.471",".62523","2.37","1.41",".3474","5008.74","1.62"
