Company Name,Ticker,Market Cap (mil),EBITDA ($mil),EBIT ($mil),Beta,Receivables ($mil),Inventory ($mil),Intangibles ($mil),Current Liabilities ($mil),Current Assets  ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Net Income  ($mil),Cash Flow ($mil),Annual Sales ($mil)
"Boot Barn","BOOT","2103.83","315.70199","231.75799","2.34","13.145","589.49401","258.25299","374.84201","669.17297","330.08099","0","776.45001","26.04","29.82999",".42511","1.79",".21",".17749","170.55299","254.49699","1657.61"
"Hugo Boss","BOSSY","5104","658.80499","257.39801","1.24","294.807","716.43103","193.593","1156.88598","1511.96203","0","0","1111.75097","3.12","0","0","1.38","","","162.48599","563.50299","3296.34"
"Bouygues","BOUYF","62843.39","4807.57714","1978.66101",".79","15123.37988","3298.82202","17484.49023","31520.55078","31042.2207","12207.00976","0","14678.75","7.67","45.40299",".83161",".98",".88",".40037","1025.15295","4020.74511","46705.77"
"Boardwalk Real Estate Investment Trust","BOWFF","2071.79","433.83099","427.6","1.36","4.91099","0","0","452.566","56.21599","1988.52697","0","2595.71093","58.04","42.68099",".74463",".04","","","356.07598","362.26199","375.39"
"Bowlero","BOWL","2182.58","172.99899","63.83599",".2","5.227","10.31","835.26202","119.16","169.294","1262.69299","206.00199","-13.68201",".53","81.413","14.60046","1.37","1.33","1.29034","-29.93401","206.73199","911.71"
"Box","BOX","4145.77","156.35","36.84","1","264.51501","0","73.86299","715.82702","806.763","369.35101","0","-523.85102","-3.55","","-.7222","1.18","1.13",".75751","26.783","299.91598","990.87"
"BP","BP","103930.78","32426","18108",".74","34631","28081","22160","99018","107688","43746","0","82990","29.65","34.587",".52873","1.17",".8",".45422","-2487","41972","248891"
"Banco Comercial Portugues","BPCGY","4579.54","","","0","","","","","","","","","","","","","","","","",""
"Blueprint Medicines","BPMC","3387.38","-541.52802","-552.28101",".71","36.93799","29.697","0","183.23399","1046.651","122.232","0","514.677","6.85","22.767",".29478","5.21","5.55","5.34843","-557.51703","-546.76398","204.04"
"Popular","BPOP","4411.3","1377.18005","1280.67797",".82","31357.4707","5.381","968.72198","62627.55078","37474.67187","0","22.14299","4071.28198","61.81","0","0",".61",".6",".09758","1102.64099","1197.73095","3362.97"
"Broadridge Financial Solutions","BR","18114.73","1220.90002","756.90002",".99","946.90002","0","4562","1313.40002","1328.40002","3793","0","1919.09997","16.94","67.09899","2.03942","1.35","1.01",".29046","539.09997","1229.69995","5709.1"
"BellRing Brands","BRBR","4913.7","216.1","194.8",".87","173.3","199.8","269.20001","143.5","421.29998","929.5","0","-376.20002","-2.72","","-2.67172","3.17","1.54",".33588","82.3","130.19999","1371.5"
"Brady","BRC","2398.34","227.438","193.25599",".78","183.233","190.02299","660.85998","255.17399","498.06799","95","0","911.29797","20.12","4.86149",".05109","2.19","1.21",".48912","149.979","196.927","1302.06"
"Bridgestone","BRDCY","28800.08","5755.47412","3583.24194",".51","7288.88183","6816.84912","2281.70996","8360.66015","19347.40039","4645.16406","0","23195.92968","16.6","16.68499",".20025","2.31","1.5",".62694","2312.833","4511.50683","31470.81"
"Berkshire Hathaway","BRK.A","723358.81","-17188","-28087",".88","71509","0","107306","366525","107320","0","0","480617","353887.94",".61655","0",".28",".29",".0977","-22819","41692","302089"
"Berkshire Hathaway","BRK.B","714576.94","-17188","-28087",".87","71509","0","107306","366525","107320","0","0","480617","235.93",".61655","0",".28",".29",".0977","-22819","41692","302089"
"Bruker","BRKR","10706.17","502.70001","413.89999","1.16","472.70001","800.09997","728.5","914.29998","2113.19995","1200.5","0","1125.69995","8.17","48.323",".92509","2.03","1.44",".91917","296.6","437.70001","2530.7"
"Brown & Brown","BRO","18062.47","1203.5","1017.29998",".75","2355.30004","0","8269.40039","2332","4400.5","3691.5","0","4606.60009","17.08","43.16699",".75954","2.49","1.89",".87701","671.79998","832.92102","3573.4"
"BRP Group","BRP","2547.44","86.51699","-4.961","1.53","531.992","0","2521.97802","699.20599","772.39898","1314.86206","0","1139.552","9.69","53.464","1.1484","1.01","1.1",".34382","-41.772","210.438","980.72"
"Brother Industries","BRTHY","3800.61","1143.35595","798.92602",".74","913.89697","1509.28894","1083.03198","1597.60302","4243.02978","184.27499","0","4994.77783","34.17",".098",".00098","2.47","","","543.17602","888.08502","6333.04"
"Brixmor Property Group","BRX","6164.23","883.34399","546.61999","1.59","264.14599","0","0","535.419","307.074","5035.50097","0","2865.01","9.61","63.198","1.71721",".6",".57",".08017","354.19299","690.91699","1218.07"
"Braze","BRZE","3138.13","-110.57","-140.163",".74","78.33799","0","0","217.30299","583.17102","0","0","445.303","4.64","0","0","2.68","2.68","2.32317","-138.96601","-30.77701","355.43"
"Banco Santander Chile","BSAC","8597.85","2899.45996","2764.16796",".73","41333.75","0","118.568","29771.51953","57283.4414","17633.7207","0","5460.34179","10.28","80.07299","4.01834","2.05","1.92",".53573","871.50402","1081.09094","5255.19"
"Banco  ntander Brasil","BSBR","22606.07","8646.08593","8145.27392",".84","0","0","6121.45019","151069.59375","32034.96093","3784.43701","0","21438.75","5.77","15.00399",".17652",".21",".21",".21205","2767.40991","3267.94995","26795.73"
"Black Stone Minerals","BSM","3374.16","532.52398","482.76599","1.04","135.697","0","0","30.73399","173.38099","10","298.36099","911.45098","4.48","0","0","14.38","5.64","1.22613","476.48001","550.927","663.6"
"Grupo Financiero Santander Mexico","BSMX","7411.4","2702.48706","2370.19311","1.09","0","0","530.846","48340.16015","3618.906","8636.71679","0","8123.66406","6.88","47.921",".92014",".95",".07",".07486","1198.16796","1649.36901","7646.56"
"Boston Scientific","BSX","71960","2879","1611",".8","1970","1867","18822","3803","5760","8915","0","17573","12.62","31.93099",".4691","1.4","1.02",".50565","698","3727","12682"
"Bentley Systems","BSY","14164.58","311.738","232.91","1.19","287.07299","0","2529.45507","628.35797","415.89498","1775.69604","0","573.45397","2.11","73.097","2.71704",".6",".66",".20501","174.738","353.346","1099.08"
"Barratt Developments","BTDPY","5834.53","909.00897","895.03198","1.52","324.12298","0","1408.703","1905.73596","2124.7019","266.22","0","7495.82324","","","","","1.11",".94482","685.65002","1138.99902","7012.78"
"B2Gold Corp","BTG","4944.27","924.40197","541.45898",".96","51.194","332.031","0","233.61599","1035.17102","41.70899","0","3111.78906","2.45","1.0801",".01091","4","3.01","2.79067","252.873","646.72497","1732.59"
"British American Tobacco","BTI","78251.23","15176.76855","13562.61328",".56","5585.84082","7014.45996","159652.90625","22082.38085","19059.39062","47900.1914","0","93645.70312","38.12","33.84099",".5115",".86",".55",".29249","8245.17578","12031.26953","34214.43"
"British Land","BTLCY","4032.8","1393.11596","1393.11596","1.6","57.36399","0","0","592.75701","183.01699","3314.79711","0","9195.93164","8.38","20.697",".26098",".55","","","-1251.29505","317.04299","503.89"
"Peabody Energy","BTU","2746.41","1736.5","1418.90002","1.01","465.5","296.1","0","918.70001","2372.5","320.6","0","3294.80004","24.39","8.3695",".09133","2.17","2.26","1.75345","1297.09997","1706.69995","4981.9"
"Britvic","BTVCY","2826.94","314.16101","221.117",".96","524.46899","184.72099","572.35998","772.81597","834.93701","879.953","0","575.09698","","","","","","","141.20899","254.641","1922.6"
"AnheuserBusch InBev","BUD","94110.66","20649","15571","1.24","6143","6612","153219","34383","23186","78880","0","84278","48.52","48.346","",".67",".48",".30337","5969","11532","57786"
"Burberry Group","BURBY","10187.23","1171.85595","744.36102","1.27","503.98001","581.83099","327.79199","1098.10302","2779.40307","407.00799","0","2208.49902","","","","","","","590.68798","572.60601","3729.77"
"Burlington Stores","BURL","9699.56","648.01397","373.983","1.1","71.091","1181.98205","285.06399","1911.95104","2283.79199","1462.07202","0","794.90502","12.35","62.755","1.68491","1.16",".58",".53909","230.123","554.80102","8702.6"
"Bavarian Nordic","BVNRY","2144.62","19.88699","-41.89301","1.51","71.299","76.375","923.40899","303.652","756.30401","3.006","0","1173.31005","4.44",".24774",".00248","1.96","","","-73.946","-12.15201","301.9"
"Bureau Veritas Registre International De Classific","BVRDF","11894.95","1158.96105","845.93597","1.1","1680.91296","0","2672.13989","2506.51391","3788.95605","2214.66699","0","2031.34094","4.49","52.159","1.09024","1.51","1.51",".84102","491.71499","875.64001","5954.51"
"BorgWarner","BWA","11003.83","2091","1370","1.42","3323","1687","4448","4236","6617","4166","0","7508","32.76","35.22",".54369","1.59","1.16",".37936","944","1809","15801"
"BWX Technologies","BWXT","5902.95","424.62899","350.78698",".81","87.676","0","486.777","367.85998","771.61901","1282.62402","0","748.35498","8.62","63.34099","1.72786","2.44","2.1","1.85924","238.19099","361.34201","2232.8"
"The Blackstone Group","BX","60384.37","3846.11108","3779.01391","1.5","4609.61083","0","2107.48901","9382.17773","9103.32617","12439.53027","0","17966.06054","24.17","45.018",".72241",".89",".97",".47896","1747.63098","3895.17089","8517.67"
"Brambles","BXBLY","12329.67","1611.40002","919.5",".91","978.5","94.5","243.5","2237","1321.59997","2108.3999","0","2451.10009","","","","",".55",".11113","593.29998","1285.59997","5558.9"
"Blackstone Mortgage Trust","BXMT","3223.48","933.23602","964.96398","1.33","24691.74023","0","0","0","24983.08007","20382.88085","0","4544.20019","26.47","81.832","4.50407","","","","248.64199","458.10198","1338.95"
"Boston Properties","BXP","7793.16","2209.92504","1457.72302","1.07","1370.78002","0","0","521.31896","2186.16796","14489.66992","0","8363.81933","52.96","64.299","1.801","4.76","4.19","1.56408","848.94702","1601.14904","3108.58"
"Blackstone Secured Lending Fund","BXSL","4199.69","697.268","608.135",".45","0","0","0","5750.0288","9748.52148","0","0","4158.96582","26.1","0","0","1.72","1.7","1.69538","404.55599","573.13299","850"
"Boyd Gaming","BYD","6737.59","1311.98901","980.05499","1.78","111.611","22.173","2460.8789","586.13397","478.22799","3005.13403","0","1590.625","16.3","63.776","1.7606",".77",".78",".58765","639.37701","993.70501","3555.38"
"BYD Company Limited","BYDDF","92603.45","3182.7749","995.97601",".53","7210.97998","6719.99121","1567.95202","26552.10937","25747.08007","1891.81298","0","16157.8496","","","","","","","472.00399","2658.79711","32751.06"
"Kanzhun","BZ","5252.75","58.631","16.96199",".24","2.25799","0","2.311","439.46899","2004.61999","0","0","1687.75305","4.57","0","0","4.52","4.56","4.55632","15.548","157.578","654.04"
"Bunzl","BZLFY","13137.22","1107.22998","871.81298",".92","1978.76904","2026.89697","3804.62695","3815.76489","5094.47119","1971.48095","0","3030.583","","","","","","","586.92199","763.09802","14895.13"
"Buzzi Unicem","BZZUF","4276.54","","",".46","","","","","","","","","","","","","","","","",""
"Citigroup","C","90017.8","37785","32988","1.57","694439","0","24119","1855359","1735979","271606","18995","182843","96.97","57.22999","1.48158",".95",".94",".56136","14845","19873","101078"
"Carlsberg","CABGY","20493.63","2155.15209","1562.27294",".71","1239","809.669","6969.97705","6902.57519","4849.6582","3237.68408","0","4916.63476","6.93","39.705",".65851",".7",".59",".40578","-150.52001","1965.68505","9950.51"
"Cable One","CABO","3737.03","873.05603","513.07598",".84","74.383","0","3595.53198","244.15499","346.70498","3752.59106","0","1757.97302","306.72","68.47","2.17159","1.75","1.42","1.11536","234.11799","729.41802","1706.04"
"Credit Acceptance","CACC","6131.44","903.90002","878.29998","1.32","8.69999","0","0","294.20001","6796.3999","4559.7998","0","1624","134.25","72.63999","2.65498","17.48","23.1","23.07171","535.79998","561.40002","1832.4"
"CACI International","CACI","6927.27","633.28601","496.32901",".97","926.14398","0","4639.67578","1027.36096","1209.63793","1702.14794","0","3053.54296","131.43","36.36",".57133","1.23","1.18",".27594","366.794","558.68499","6202.92"
"Cadence Bank","CADE","2081.06","924.82098","669",".97","29908.92968","187.925","1591.55895","42965.57812","32095.00976","462.55398","166.99299","4144.38085","39.81","9.33139",".10689",".79",".74",".0465","463.23699","807.57202","2053.63"
"CAE","CAE","6835.86","617.45501","358.58099","1.69","502.316","441.34201","3064.42993","1699.62902","1690.77697","2296.35595","0","3471.50292","10.92","39.81299",".66148",".99",".74",".43957","168.473","465.36199","3108.64"
"Conagra Brands","CAG","16701.28","1788.69995","1413.30004",".56","867.40002","1939.69995","15182.2998","3518.80004","3033.69995","8088.20019","0","8862.20019","18.74","47.48199",".9041",".97","","","888.20001","1515.30004","11535.9"
"Cardinal Health","CAH","21579.91","72","-620",".76","10561","15636","7629","30550","32935","4735","0","-706","-8.61","","-2.12264","1.03",".57",".22055","-933","2111","181364"
"CaixaBank","CAIXY","28245.53","5632.68115","5015.83886","-.06","0","0","4510.94189","7685.39501","66216.84375","0","0","28875.06054","","","","","","","6183.29882","2161.67089","14424.15"
"Canon","CAJPY","26573.06","4465.83007","2721.84204",".41","5958.57617","6224.00195","9652.88183","10513.21972","16600.53906","18.611","0","25787.52929","24.57",".06972",".00069","1.51",".99",".42022","1878.5","3578.281","30311.38"
"CalMaine Foods","CALM","2306.74","235.78999","166.41799","-.04","219.404","263.316","62.137","184.67399","661.51898",".214","0","1104.34497","31.33","0","0","3.81","","","132.64999","202.022","1777.16"
"Calix","CALX","3263.66","67.21099","54.04199","1.55","93.804","149.16","116.175","165.42199","547.36999","0","0","679.56701","10.84","0","0","3.58","2.41","1.84017","41.00999","90.816","867.83"
"Avis Budget Group","CAR","6991.02","7133","4288","2.34","810","0","1736","2574","1886","18453","0","-700","-11.09","","-44.07937",".72",".73",".41802","2764","5652","11994"
"China Resources Cement Holdings","CARCY","3070.17","1680.38696","1354.28295",".11","825.776","378.531","1582.84497","2704.30395","2126.47192","175.33799","0","7161.04199","","","","","","","999.65899","1325.76293","5658"
"CarGurus","CARG","2309.43","167.899","111.36199","1.61","46.817","5.282","210.52099","98.733","557.36602","0","0","734.609","6.09","4.45909","0","4.38","5.59","5.1175","193.785","187.58399","1655.04"
"Carrier Global","CARR","36065","4891","4511","1.32","2833","2640","11319","6032","9879","8702","0","8076","10.14","50.699","1.02834","1.7","1.2",".73043","3534","2400","20421"
"Casey's General Stores","CASY","8492.86","803.768","497.70001",".82","152.09899","396.199","612.93402","904.67797","725.03497","1663.40295","0","2240.83789","69.96","38.53799",".62701","1.1","","","339.79","645.85797","12952.59"
"Caterpillar","CAT","114651.17","12904","9760","1.09","17869","16270","6046","31531","43785","25714","0","15891","35.26","57.78599","1.3689","1.43",".87",".30592","6705","10483","59427"
"Cathay General Bancorp","CATY","2256.59","549.15698","484.824","1.14","18185.69921","0","381.453","18507.65039","19348.0996","626.73602","0","2474.04003","35.12","16.479",".1973","1.04","1.05",".0628","360.64199","424.975","908.09"
"Chubb Limited","CB","79239.87","7612","7138",".65","38551","0","21728","132079","45638","14402","0","50540","127.93","21.69799",".27129",".36",".35",".05365","5313","6931","43166"
"Cboe Global Markets","CBOE","14258.89","1119.40002","489.29998",".51","418.1","0","4785.60009","1477.19995","1556","1437.30004","0","3465.30004","33.52","28.892",".4063","1.07","1.05",".7703","235","1369.90002","3958.5"
"CBRE Group","CBRE","23638.8","2406.73095","1727.18896","1.36","5863.68896","0","7061.08789","8241.99414","8528.68066","1085.71203","0","8605.73242","27.8","11.166",".12569","1.04","1.03",".32334","1407.36999","2542.65991","30828.25"
"Cracker Barrel Old Country Store","CBRL","2155.27","271.061","153.003","1.38","34.69699","213.24899","25.89999","502.324","317.276","423.24899","0","511.479","21.96","48.27899",".93343",".66",".21",".13801","131.88","259.68099","3267.79"
"Commerce Bancshares","CBSH","6030.1","724.367","658.70599",".75","16153","4.964","154.15499","29029.16992","17917.61914","9.67199","0","2481.5769","21.49","35.983",".56209",".69",".62",".06061","488.39898","554.05999","1545.51"
"Cabot","CBT","4137.43","537","391","1.33","836","664","192","1105","1820","1089","0","1032","21.87","47.034",".88798","1.93","1.05",".28959","209","506","4321"
"Community Bank System","CBU","2746.61","260.057","248.369",".61","8800.94824","0","902.83697","13492.82031","9010.84375","791.12298","0","1551.70495","30.41","4.4267",".04631",".68",".67",".01555","188.08099","206.292","702.45"
"CBIZ","CBZ","2634.89","182.427","149.53199",".75","334.49798","0","951.70202","512.40698","568.42602","263.65399","0","713.45202","15.4","34.23099",".52047","1.41","1.11",".45652","105.35399","144.32099","1411.98"
"Chemours","CC","5183.17","1204","904","1.87","626","1404","115","1891","3214","3590","0","1107","8.23","74.55999","2.93078","1.84",".96",".62612","578","1038","6794"
"CCC Intelligent Solutions","CCCS","7074.81","218.136","88.85199",".73","102.36799","0","2613.94799","151.565","479.07","774.13201","0","2045.28698","3.3","27.13199",".37235","3.89","3.16","2.48541","38.40599","335.695","782.45"
"Coca-Cola Europacific Partners","CCEP","28983.26","3112.33496","2252.59692",".82","2834.18408","1453.96801","18021.83007","7704.97705","6893.70507","11137.61035","0","7846.15917","17.18","58.66899","1.41949",".89",".71",".33816","1588.82897","2507.854","18251.52"
"Coca-Cola HBC","CCHGY","10990.32","1184.56201","758.065","1.2","1224.70495","811.27197","2678.77807","3167.85888","3915.38793","3248.14404","0","3567.06811","9.73","47.65999",".91059","1.24",".98",".59327","437.665","1085.00695","9693.12"
"Crown Castle Inc.","CCI","48918.13","4114","2390",".65","593","0","10146","2731","1217","20910","0","7449","16.66","74.86399","2.9784",".52",".45",".22848","1675","3399","6986"
"Cameco","CCJ","13376.36","267.604","131.166",".95","166.24299","511.28601","36.242","431.39898","2555.00195","766.89202","0","4489.10107","10.17","14.34099",".16741","7.75","4.74","4.35205","68.75299","240.279","1436.85"
"Crown Holdings","CCK","9910.66","1800","1340","1.06","1843","2014","4309","3932","4659","6792","0","2287","20.67","73.94999","2.83883","1.3",".67",".20396","727","1280","12943"
"Carnival","CCL","13726.97","-2025","-4471","2.21","395","428","1735","10605","7492","31953","0","7065","5.53","84.11499","5.2953",".64",".67",".62885","-6094","-3062","12168"
"Cogent Communications","CCOI","2979.14","187.64599","93.95999",".44","44.123","0","0","120.28399","365.91299","1231.307","0","-518.63202","-11.36","","-2.26998","2.58","3.04","2.67525","5.14599","101.08","599.6"
"China Coal Energy","CCOZY","10421.31","6712.94384","5139.05322","-.1","2330.35498","1389.41394","7158.68994","15602.73046","18413.17968","7922.02685","0","24486.17968","36.94","24.44499",".32353","1.18","1.09",".94172","2930.31298","4504.5","32781.03"
"Century Communities","CCS","2156.3","742.39801","731.17498","1.75","256.35501","0","30.395","406.514","609.64801","1019.41198","0","2150.21508","67.81","32.09899",".47273","1.72","1.5",".86907","525.12597","544.22198","4505.92"
"Compania Cervecerias Unidas","CCU","2920.92","232.847","232.847",".82","547.99298","546.67797","340.29501","876.86798","1828.14294","1327.71398","0","1579.56604","9.04","45.55199",".83662","2.13","1.46",".83646","129.985","129.39399","2969.02"
"Chindata","CD","2208.67","324.81698","188.899",".54","344.38198","0","114.986","617.01599","979.58898","1047.84399","0","1581.73706","4.45","47.032",".88794","2.29","1.59","1.02948","94.47699","230.395","659.93"
"Ceridian HCM","CDAY","10138.28","59.29999","-34.3","1.44","180.1","0","2561.60009","4533.5","4894","1213.40002","0","2109.3999","14.15","35.59",".55254","1.07","1.08","1.03979","-73.40001","214.1","1246.2"
"Cadence Design Systems","CDNS","63352.67","1201.51904","1068.29699","1.06","486.70999","128.005","1728.885","1347.69604","1706.76696","648.078","0","2745.11303","10.78","18.06299",".22044","1.44","1.17",".81031","848.95202","1306.54101","3561.72"
"CDW","CDW","22824.78","2014.09997","1723.5","1.1","4950.3999","800.20001","5833.3999","4947.10009","6564","5866.3999","0","1603.30004","11.64","78.563","3.66492","1.31","1.17",".16441","1114.5","1632.09997","23748.7"
"Celanese","CE","12388.76","2304","1826","1.3","2054","2808","11247","4068","6611","13373","0","6105","56.35","68.606","2.18531","1.67",".93",".42994","1894","2212.92407","9673"
"Constellation Energy Corporation","CEG","28389.25","2136","-291",".65","3316","1505","0","7839","9360","4466","0","11372","34.17","34.20399",".51984","1.36","1",".57902","-160","2267","24440"
"Consol Energy","CEIX","2067.09","856.26898","621.07702","1.82","196.64399","66.29","0","448.798","598.48297","355.33499","0","1165.82604","36.86","17.037",".20535","1.38","1.19",".74766","466.979","702.17102","2101.94"
"Celsius","CELH","10939.44","-144.862","-152.66401","1.81","63.311","173.289","25.933","161.29499","917.971",".162","0","40.09099","1.06",".19213",".00192","5.18","4.62","4.22437","-187.282","-179.48","653.6"
"Central Garden & Pet","CENT","2010.18","340.764","257.15899",".69","376.78698","938","1089.64599","465.89199","1553.854","1186.24499","0","1334.71203","25.41","46.901",".88326","3.47","1.32",".51313","152.15199","235.757","3338.59"
"Crestwood Equity Partners","CEQP","2706.23","582.90002","251.8","2.49","432.20001","122.59999","1228.59997","510.20001","653.79998","3378.30004","612","1729.59997","15.92","59.165","1.97809","1.1","1.04",".19404","31.29999","302.29998","6000.7"
"Cerevel Therapeutics","CERE","5144.12","-352.99701","-351.35102","1.47","0","0","0","72.564","905.651","335.48199","0","521.23797","2.75","43.76399",".77821","13.35","12.48","12.48071","-351.51099","-353.15702",""
"Certara","CERT","3415.6","90.538","36.52799","1.58","82.58399","0","1204.52502","103.15799","342.25201","289.988","0","1079.66101","6.79","21.06399",".26684","3.71","3.32","2.51718","14.73099","127.40399","335.64"
"CF Industries","CF","12447.59","6289","5439","1.01","582","474","2089","995","3673","2965","0","7853","41.5","26.82699",".36662","4.46","3.22","2.63015","3346","4399.81982","11186"
"Citizens Financial Group","CFG","13304.84","3617","3052","1.33","154679","982","8370","180727","166511","15887","2014","21676","45.84","43.79199",".84982",".94",".92",".06003","2073","2638","9069"
"Confluent","CFLT","10494.92","-406.391","-446.258",".96","178.188","0","0","424.32998","2198.125","1084.5","0","769.47698","2.52","59.304","1.45725","5.27","5.18","4.76029","-452.551","-121.48401","585.94"
"Cullen/Frost Bankers","CFR","6784.39","881.53302","712.789","1.04","18005.28906","0","655.33801","49532.73828","30061.4707","222.404","145.45199","2991.77587","51.59","6.0282",".06695",".58",".61",".24339","579.15002","747.89398","1880.54"
"Compagnie Financiere Richemont","CFRUY","166413.59","5105.70019","4110.60009","1.17","1932.07495","8252.58789","6835.5","12214.38964","29508.90039","6914.5498","0","23090.74023","","","","","","","335.794","4193.66894","21406.06"
"Carlyle Group","CG","10298.55","2041.90002","1894.5","1.67","681.29998","20","897.79998","5052.60009","13039.70019","8176.8999","0","6821.2998","18.81","55.108","1.22755","2.82","2.58","2.44199","1225","2056.3999","4438.7"
"Cap Gemini","CGEMY","31059.91","3138.67407","2381.13598","1.41","3619.11596","0","12638.99023","8497.28417","10896.33007","5958.10791","0","10265.21972","11.83","36.726",".58041","1.28","1.28",".85641","1629.91894","2746.02587","23177.96"
"Cognex","CGNX","9588.01","275.28399","250.695","1.6","125.41699","122.48","255.044","187.70799","717.69897","0","0","1438.39404","8.38","0","0","3.38","3.17","2.50283","215.52499","253.507","1006.09"
"Chiba Bank","CHBAY","5510.97","822.53198","737.98498",".66","100856.79687","0","130.49699","138513.59375","135120.29687","11606.87988","0","9409.77832","","","","","","","448.39401","556.22399","2197.54"
"China CITIC Bank","CHCJY","25641.94","17173.375","16064.66015",".02","735951.8125","0","582.48999","972085.875","835821.5","148521.5","0","99607.03125","40.47","61.08499","1.56971",".85","","","9229.43847","9229.43847","55592.56"
"Church & Dwight Co.","CHD","23119.59","831.90002","612.90002",".47","422","646.59997","5858.3999","1183.80004","1395.90002","2599.5","0","3489.8999","15.02","39.555",".65438","1.18",".63",".27648","413.89999","950.62701","5375.6"
"Churchill Downs","CHDN","9996.31","875.09997","756.09997","1.12","95.5","0","3115.60009","621.59997","344.5","4558.70019","0","551.5","9.41","86.069","6.17821",".54",".55",".40057","439.39999","428.79998","1809.8"
"Christian Dior","CHDRY","150409.7","27476.31054","20582.38671","1.04","4880.28808","19579.11914","56853.87109","33142.17968","40701.01171","14392.41015","0","54856.80078","","","","","","","5851.61181","12745.92968","75977.91"
"Chemed","CHE","8163.55","393.777","334.263",".54","139.408","10.272","681.02099","297.20498","272.61199","92.5","0","798.71502","58.59","1.81299",".01846",".93",".88",".41362","249.62399","357.76998","2134.96"
"China Everbright Environment Group??","CHFFF","2583.74","","",".3","","","","","","","","","","","","","","","","-950.53199","984.3"
"Chugai Pharmaceutical Co.","CHGCY","46035.01","4332.49023","4090.44799",".59","3959.979","2249.98608","193.58599","3262.72094","10291.33007","0","0","10967.78027","3.33","","","3.15","2.46","1.2509","2883.10302","3109.04492","9647.41"
"Choice Hotels International","CHH","5794.68","560.182","480.60299","1.28","221.373","0","960.84301","435.89801","347.92199","1200.54699","0","154.66",".92","96.694","29.24638",".92",".8",".29031","332.152","372.21398","1401.95"
"Chesapeake Energy","CHK","10400.29","5564","3811",".65","1438","0","0","2704","2698","3093","0","9124","76.81","16.554",".19838","1.39","1",".46597","4936","4266","11743"
"Check Point Software Technologies","CHKP","14973.28","983","928.29998",".69","644.20001","0","1295.5","1839.19995","2331.80004","0","0","2929.30004","23.78","0","0","1.2","1.27",".91757","796.90002","989.59997","2329.9"
"ChargePoint","CHPT","3066.82","-310.43","-337.84101","1.68","164.89199","68.73","306.389","284.33599","704.16998","294.936","0","354.992","1.02","45.38",".83082","2.48","2.23","1.6549","-345.10801","-208.413","468.09"
"Chord Energy Corporation","CHRD","6078.34","1785.781","1412.92797","1.36","781.73797","54.41099","0","1361.333","1482.51196","394.20901","0","4679.79785","114.53","7.65759",".08292","1.18","1.05",".4748","1856.15905","1244.39196","3646.79"
"C.H. Robinson Worldwide","CHRW","10642.51","1359.55798","1266.78198",".8","2991.75292","0","1534.83898","3322.85205","3589.23803","920.04901","0","1353.42199","11.86","39.983",".66619","1.1","1.08",".17981","940.52398","1061.27294","24696.63"
"Chorus","CHRYY","2253.61","156.41999","156.41999",".66","100.804","0","114.013","320.48699","140.42999","2752.99194","0","659.04998","","","","","","","32.67399","32.68199","658.5"
"Chunghwa Telecom","CHT","31603.84","2828","1545",".13","2","368","2577","2204","3316","1044","0","12741","17","7.41079",".08003","1.8","1.34","1.33666","1183","2508.93408","7275.28"
"Charter Communications","CHTR","51124.48","20921","12018","1.11","2921","0","99698","12065","4017","96093","0","12549","84.52","88.15","7.43861",".33",".33",".09084","5055","13958","54022"
"Chewy","CHWY","15711.59","135.18499","51.87799",".76","126.34899","675.52001","39.442","1769.34899","1520.32104","0","0","213.957",".66","0","0",".92",".48",".40605","49.23199","309.08999","10098.94"
"ChampionX","CHX","5404.68","527.25799","242.00999","2.55","601.06097","542.54302","984.49798","858.97601","1498.58105","621.70202","0","1677.21496","8.44","26.298",".35681","1.75","1.11",".41325","154.96899","545.47198","3805.95"
"Cigna Group","CI","77737.47","12518","9581",".62","21961","0","78303","41229","28790","28100","0","44885","150.46","39.61199",".6542",".71",".7",".16563","6668","10221","180516"
"China Mengniu Dairy","CIADY","15387.54","950.216","684.94897",".34","433.014","798.75402","1825.83105","3788.33691","4565.30322","2031.47399","0","5397.17089","","","","","","","510.77899","776.138","11019.43"
"China Construction Bank","CICHY","161887.11","52569.43359","48775.66015",".28","2351925","0","3130.854","3458149","3064785","136234.5","8690.66699","337526.65625","","","","","","","39275.14062","42260.89843","161097.7"
"China Cosco","CICOY","14694.27","4444.98779","2653.4851","1.54","2174.11889","468.25201","1570.01599","10726.7998","10427.57031","10571.3496","0","11403.20019","","","","","","","16300.70996","16300.70996","58117.16"
"Ciena","CIEN","7085.09","369.75799","229.55499","1.01","920.77197","946.72998","397.83898","1040.583","3385.89599","1061.125","0","2712.86108","19.03","35.284",".54521","3.7","2.34","1.45917","152.90199","429.14401","3632.66"
"Comp En De Mn Cemig","CIG","5217.25","1620.88098","1391.92797",".75","1527.71203","0","2832.08789","2170.02099","2608.16992","1922.08496","0","4219.56103","1.99","29.46299",".41768","1.19","1.2",".4979","792.61999","1021.49597","6674.83"
