Company Name,Ticker,Market Cap (mil),EBITDA ($mil),EBIT ($mil),Beta,Receivables ($mil),Inventory ($mil),Intangibles ($mil),Current Liabilities ($mil),Current Assets  ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Net Income  ($mil),Cash Flow ($mil),Annual Sales ($mil)
"Abbott Laboratories","ABT","180433.13","12131","8864",".67","6218","6173","33253","15489","25224","14522","0","36905","21.41","28.18899",".39253","1.68","1.23",".82852","6933","12733","43653"
"Arcosa","ACA","3309.11","501.29998","347.20001",".55","334.20001","315.79998","1214.59997","367.70001","856.79998","535.90002","0","2184.3999","46.31","19.25699",".23849","2.4","1.47",".56241","245.8","260.89999","2242.8"
"ACADIA Pharmaceuticals","ACAD","3898.13","-214.15401","-213.44401",".53","63.08","6.636","0","125.62999","507.93701","0","0","400.41299","2.3","0","0","2.24","3.99","3.48818","-215.97501","-216.685","517.23"
"Air Canada","ACDVF","5866.39","788.42999","-473.05802","1.93","797.65997","244.606","3328.32788","7194.32812","7434.31787","11571.08007","0","-1196.10596","-3.34","","-9.67396","1.03","1",".88848","-1307.64002","529.216","12734.76"
"Agri Bank China","ACGBY","133511.52","58251.48046","55165.27343",".26","3538189","0","214.05499","3517008","4066401","233686.79687","12384.33984","362926.34375","27.45","41.762",".71709","1.18","","","38512.08984","38512.08984","178942.09"
"Arch Capital Group","ACGL","26553.73","1724.95898","1618.75903",".73","14854.70019","0","804.289","30632.8496","17041.48046","2820.45092","830","12080.07031","35.32","17.655",".22708",".57",".56",".07138","1476.93298","1987.32495","9614.81"
"Acadia Healthcare","ACHC","6338.43","564.93298","443.90301","1.3","322.43899","0","2298.84594","388.32598","506.125","1364.54101","0","2812.72705","30.85","34.41799",".49294","1.42","1.3",".47302","273.139","396.37298","2610.4"
"Albertsons Companies","ACI","11875.08","4147.20019","2340.10009",".57","687.59997","4782","3666.3999","8428.7998","6270.3999","7834.3999","0","1610.69995","3.01","83.02899","4.86397",".74",".18",".095","1513.5","3772.19995","77649.7"
"ACI Worldwide","ACIW","2484.4","402.75299","259.828","1.11","403.781","0","1454.72399","858.84197","1114.80505","1024.35095","0","1193.18701","10.78","46.40399",".8658","1.36","1.3",".82788","142.177","333.70199","1421.9"
"Axcelis Technologies","ACLS","5326.35","222.06799","210.46099","1.71","169.77299","242.406","0","248.132","877.64501","45.185","0","667.25598","21.45","6.0043",".06387","3.49","2.56","1.87588","183.07899","194.686","920"
"AECOM","ACM","11388.17","831.84197","660.95599","1.3","2406.8999","0","3416.31298","5404.17089","5822.81005","2156.68603","0","2605.3789","19.7","44.02",".78636","1.09","1.08",".63208","310.61099","665.98602","13148.18"
