Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal
AFL,AFLAC Incorporated,www.aflac.com,NYSE,AFL,Finance and Insurance,Insurance Carriers,
AFRM,"Affirm Holdings, Inc.",,NASDAQ,AFRM,Finance and Insurance,Nondepository Credit Intermediation,
AGCO,AGCO LIMITED,www.agcocorp.com,,,Wholesale Trade,"Machinery, Equipment, and Supplies Merchant Wholesalers",
AGI,Alamos Gold Inc,www.alamosgold.com,Toronto,AGI,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,
AGL,"Agilon Health, Inc.",www.agilonhealth.com,NYSE,AGL,Health Care and Social Assistance,Other Ambulatory Health Care Services,
AGNC,Agnc Investment Corp.,www.agnc.com,NASDAQ,AGNC,Real Estate and Rental and Leasing,Lessors of Real Estate,
AGO,Assured Guaranty US Holdings Inc.,www.assuredguaranty.com,,,Finance and Insurance,Insurance Carriers,
AGR,"Avangrid, Inc.",www.avangrid.com,NYSE,AGR,Utilities,Natural Gas Distribution,
AGTI,"Agiliti, Inc.",www.agilitihealth.com,NYSE,AGTI,Wholesale Trade,Professional and Commercial Equipment and Supplies Merchant Wholesalers,
AI,"C3.AI, INC.",www.c3.ai,NYSE,AI,Information,Software Publishers,
AIG,"AIG North America, Inc.",www.aig.com,,,Finance and Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",
AIN,Albany International Corp.,www.albint.com,NYSE,AIN,Plastics and Rubber Products Manufacturing,Plastics Product Manufacturing,
AIR,EMAAR PROPERTIES (P.J.S.C),www.emaar.com,Dubai,EMAAR,"Professional, Scientific, and Technical Services","Other Professional, Scientific, and Technical Services",
AIRC,Apartment Income Reit Corp.,www.aimco.com,NYSE,AIRC,Real Estate and Rental and Leasing,Lessors of Real Estate,
AIT,"Applied Industrial Technologies, Inc.",www.applied.com,NYSE,AIT,Other Services (except Public Administration),Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
AIZ,"Assurant, Inc.",www.assurant.com,NYSE,AIZ,Finance and Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",
AJG,ARTHUR J. GALLAGHER &amp; CO.,www.ajg.com,,,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
AKAM,"Akamai Technologies, Inc.",www.akamai.com,NASDAQ,AKAM,Information,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",
AKO.A,Embotelladora Andina Chile S.A.,www.andina.cl,,,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,
AKO.B,Embotelladora Andina S.A.,www.koandina.com,Santiago,ANDINA-A,Beverage and Tobacco Product Manufacturing,Beverage Manufacturing,
AKRO,"Akero Therapeutics, Inc.",www.akerotx.com,NASDAQ,AKRO,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
AL,Air Lease Corporation,www.airleasecorp.com,NYSE,AL,Finance and Insurance,Activities Related to Credit Intermediation,
ALB,Albemarle Corporation,www.albemarle.com,NYSE,ALB,Chemical Manufacturing,Other Chemical Product and Preparation Manufacturing,
ALC,Alcon Management SA,www.alcon.com,,,"Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services",
ALE,"Allete, Inc.",www.allete.com,NYSE,ALE,Construction,Land Subdivision,
ALG,Alamo Group Inc.,www.alamo-group.com,NYSE,ALG,Machinery Manufacturing,"Agriculture, Construction, and Mining Machinery Manufacturing",
ALGM,"Allegro Microsystems, Inc.",www.allegromicro.com,,,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
ALGN,"Aligntech de México, S. de R.L. de C.V.",www.aligntech.com,,,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing,
ALGT,Allegiant Travel Company,www.allegiantair.com,NASDAQ,ALGT,Transportation and Warehousing,Scheduled Air Transportation,
ALIT,"Alight Group, Inc.",www.alight.com,,,"Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services",
ALK,"Alaska Air Group, Inc",www.alaskaair.com,NYSE,ALK,Transportation and Warehousing,Scheduled Air Transportation,
ALKS,ALKERMES PUBLIC LIMITED COMPANY,www.alkermes.com,NASDAQ,ALKS,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
ALL,Allstate Insurance Company,www.allstate.com,,,Finance and Insurance,Insurance Carriers,
