Date,UMCSI
1970-03-01,78.1
1970-06-01,75.4
1970-09-01,77.6
1970-12-01,72.4
1971-03-01,78.1
1971-06-01,80.2
1971-09-01,82.1
1971-12-01,82
1972-03-01,92.8
1972-06-01,88.6
1972-09-01,95.2
1972-12-01,90.7
1973-03-01,81.9
1973-06-01,77
1973-09-01,72
1973-12-01,76.5
1974-03-01,61.8
1974-06-01,72.1
1974-09-01,64.4
1974-12-01,59.5
1975-03-01,57.6
1975-06-01,72.8
1975-09-01,75.7
1975-12-01,75.6
1976-03-01,84.6
1976-06-01,83.3
1976-09-01,89.7
1976-12-01,87
1977-03-01,87.1
1977-06-01,90.2
1977-09-01,89
1977-12-01,84.4
1978-02-01,83.7
1978-03-01,84.3
1978-04-01,78.8
1978-05-01,81.6
1978-06-01,82.9
1978-07-01,80
1978-08-01,82.4
1978-09-01,78.4
1978-10-01,80.4
1978-11-01,79.3
1978-12-01,75
1979-01-01,66.1
1979-02-01,72.1
1979-03-01,73.9
1979-04-01,68.4
1979-05-01,66
1979-06-01,68.1
1979-07-01,65.8
1979-08-01,60.4
1979-09-01,64.5
1979-10-01,66.7
1979-11-01,62.1
1979-12-01,63.3
1980-01-01,61
1980-02-01,67
1980-03-01,66.9
1980-04-01,56.5
1980-05-01,52.7
1980-06-01,51.7
1980-07-01,58.7
1980-08-01,62.3
1980-09-01,67.3
1980-10-01,73.7
1980-11-01,75
1980-12-01,76.7
1981-01-01,64.5
1981-02-01,71.4
1981-03-01,66.9
1981-04-01,66.5
1981-05-01,72.4
1981-06-01,76.3
1981-07-01,73.1
1981-08-01,74.1
1981-09-01,77.2
1981-10-01,73.1
1981-11-01,70.3
1981-12-01,62.5
1982-01-01,64.3
1982-02-01,71
1982-03-01,66.5
1982-04-01,62
1982-05-01,65.5
1982-06-01,67.5
1982-07-01,65.7
1982-08-01,65.4
1982-09-01,65.4
1982-10-01,69.3
1982-11-01,73.4
1982-12-01,72.1
1983-01-01,71.9
1983-02-01,70.4
1983-03-01,74.6
1983-04-01,80.8
1983-05-01,89.1
1983-06-01,93.3
1983-07-01,92.2
1983-08-01,92.8
1983-09-01,90.9
1983-10-01,89.9
1983-11-01,89.3
1983-12-01,91.1
1984-01-01,94.2
1984-02-01,100.1
1984-03-01,97.4
1984-04-01,101
1984-05-01,96.1
1984-06-01,98.1
1984-07-01,95.5
1984-08-01,96.6
1984-09-01,99.1
1984-10-01,100.9
1984-11-01,96.3
1984-12-01,95.7
1985-01-01,92.9
1985-02-01,96
1985-03-01,93.7
1985-04-01,93.7
1985-05-01,94.6
1985-06-01,91.8
1985-07-01,96.5
1985-08-01,94
1985-09-01,92.4
1985-10-01,92.1
1985-11-01,88.4
1985-12-01,90.9
1986-01-01,93.9
1986-02-01,95.6
1986-03-01,95.9
1986-04-01,95.1
1986-05-01,96.2
1986-06-01,94.8
1986-07-01,99.3
1986-08-01,97.7
1986-09-01,94.9
1986-10-01,91.9
1986-11-01,95.6
1986-12-01,91.4
1987-01-01,89.1
1987-02-01,90.4
1987-03-01,90.2
1987-04-01,90.8
1987-05-01,92.8
1987-06-01,91.1
1987-07-01,91.5
1987-08-01,93.7
1987-09-01,94.4
1987-10-01,93.6
1987-11-01,89.3
1987-12-01,83.1
1988-01-01,86.8
1988-02-01,90.8
1988-03-01,91.6
1988-04-01,94.6
1988-05-01,91.2
1988-06-01,94.8
1988-07-01,94.7
1988-08-01,93.4
1988-09-01,97.4
1988-10-01,97.3
1988-11-01,94.1
1988-12-01,93
1989-01-01,91.9
1989-02-01,97.9
1989-03-01,95.4
1989-04-01,94.3
1989-05-01,91.5
1989-06-01,90.7
1989-07-01,90.6
1989-08-01,92
1989-09-01,89.6
