Date,Current conditions
1970-03-01,81.6
1970-06-01,81.9
1970-09-01,80.6
1970-12-01,74
1971-03-01,81.7
1971-06-01,87
1971-09-01,87.8
1971-12-01,89.6
1972-03-01,95.7
1972-06-01,98.6
1972-09-01,101.2
1972-12-01,95.2
1973-03-01,95.1
1973-06-01,92
1973-09-01,85.9
1973-12-01,91
1974-03-01,81.1
1974-06-01,84.9
1974-09-01,75
1974-12-01,72.4
1975-03-01,69.3
1975-06-01,77.4
1975-09-01,83.5
1975-12-01,84.4
1976-03-01,89.9
1976-06-01,89.1
1976-09-01,96.2
1976-12-01,88.7
1977-03-01,91.6
1977-06-01,100.4
1977-09-01,100.8
1977-12-01,97.6
1978-02-01,96.2
1978-03-01,95.4
1978-04-01,93.2
1978-05-01,98
1978-06-01,98.2
1978-07-01,98.4
1978-08-01,98.7
1978-09-01,96.1
1978-10-01,96.9
1978-11-01,91.2
1978-12-01,94.1
1979-01-01,85.2
1979-02-01,93.3
1979-03-01,92.2
1979-04-01,91.2
1979-05-01,85.9
1979-06-01,88.7
1979-07-01,88.2
1979-08-01,85.7
1979-09-01,88.2
1979-10-01,87.1
1979-11-01,81.6
1979-12-01,80.9
1980-01-01,75.8
1980-02-01,87.1
1980-03-01,85.5
1980-04-01,75.3
1980-05-01,65.8
1980-06-01,61.7
1980-07-01,67.4
1980-08-01,76.1
1980-09-01,79.4
1980-10-01,82.7
1980-11-01,83.4
1980-12-01,76.4
1981-01-01,70.9
1981-02-01,76.7
1981-03-01,74.4
1981-04-01,73.5
1981-05-01,78.1
1981-06-01,80.4
1981-07-01,76.1
1981-08-01,84.9
1981-09-01,87.1
1981-10-01,79.5
1981-11-01,82.8
1981-12-01,72.1
1982-01-01,75.9
1982-02-01,83.5
1982-03-01,78.6
1982-04-01,75.9
1982-05-01,72.3
1982-06-01,76.1
1982-07-01,74.3
1982-08-01,77.5
1982-09-01,72.5
1982-10-01,72.9
1982-11-01,78.1
1982-12-01,73.8
1983-01-01,78.1
1983-02-01,78.4
1983-03-01,79.9
1983-04-01,80.5
1983-05-01,92.7
1983-06-01,93.1
1983-07-01,96.9
1983-08-01,96.5
1983-09-01,95.1
1983-10-01,96.4
1983-11-01,94.3
1983-12-01,96.1
1984-01-01,99.3
1984-02-01,104.9
1984-03-01,103.9
1984-04-01,106
1984-05-01,103.5
1984-06-01,109.8
1984-07-01,104.4
1984-08-01,103.9
1984-09-01,107.5
1984-10-01,107.8
1984-11-01,103.6
1984-12-01,102.4
1985-01-01,100.6
1985-02-01,104.9
1985-03-01,105.1
1985-04-01,103.7
1985-05-01,106.6
1985-06-01,103.7
1985-07-01,104.9
1985-08-01,104.3
1985-09-01,101.8
1985-10-01,104.3
1985-11-01,100.3
1985-12-01,100.7
1986-01-01,103.1
1986-02-01,111.8
1986-03-01,108.4
1986-04-01,107.9
1986-05-01,108.1
1986-06-01,106.2
1986-07-01,113.3
1986-08-01,112.1
1986-09-01,108.9
1986-10-01,108.3
1986-11-01,108.9
1986-12-01,106.7
1987-01-01,105.8
1987-02-01,105.1
1987-03-01,103.7
1987-04-01,102.5
1987-05-01,105.5
1987-06-01,107.4
1987-07-01,108.1
1987-08-01,109.9
1987-09-01,107.8
1987-10-01,108.3
1987-11-01,103.1
1987-12-01,99.3
1988-01-01,102.7
1988-02-01,106.2
1988-03-01,106.6
1988-04-01,109.1
1988-05-01,104.8
1988-06-01,106.5
1988-07-01,108.6
1988-08-01,110.7
1988-09-01,110.8
1988-10-01,109.4
1988-11-01,105
1988-12-01,103.3
1989-01-01,102
1989-02-01,110.3
1989-03-01,105.7
1989-04-01,104.8
1989-05-01,104.4
1989-06-01,107.1
1989-07-01,104.1
1989-08-01,102.1
1989-09-01,103.9
1989-10-01,107.1
1989-11-01,104.4
1989-12-01,101.2
1990-01-01,98.2
1990-02-01,108
1990-03-01,102.3
1990-04-01,106.9
1990-05-01,109.4
1990-06-01,108.1
1990-07-01,106.5
1990-08-01,105.1
1990-09-01,97.5
1990-10-01,94.7
1990-11-01,84.2
1990-12-01,86.7
1991-01-01,84
1991-02-01,86.8
1991-03-01,85.9
1991-04-01,92.3
1991-05-01,94.2
1991-06-01,91
1991-07-01,86.8
1991-08-01,98.2
1991-09-01,90.7
1991-10-01,94.7
1991-11-01,89.6
1991-12-01,82.8
1992-01-01,80.5
1992-02-01,80.7
1992-03-01,78.2
1992-04-01,83.1
1992-05-01,83.5
1992-06-01,91
1992-07-01,95
1992-08-01,92.7
1992-09-01,83.2
1992-10-01,87.8
1992-11-01,83.7
1992-12-01,96.7
1993-01-01,94
1993-02-01,102.6
1993-03-01,99.8
1993-04-01,100.1
1993-05-01,98.4
1993-06-01,97.4
1993-07-01,101
1993-08-01,95.1
1993-09-01,92.5
1993-10-01,97.9
1993-11-01,99.1
1993-12-01,97.9
1994-01-01,104.4
1994-02-01,108.6
1994-03-01,108.4
1994-04-01,103.4
1994-05-01,108.9
1994-06-01,105.2
1994-07-01,107.3
1994-08-01,106
1994-09-01,110.1
1994-10-01,102.9
1994-11-01,104.3
1994-12-01,102.1
1995-01-01,106.7
1995-02-01,114.9
1995-03-01,111.1
1995-04-01,106.5
1995-05-01,109
1995-06-01,104.1
1995-07-01,105.4
1995-08-01,107.4
1995-09-01,115.4
1995-10-01,106.1
1995-11-01,104.8
1995-12-01,104.3
1996-01-01,101.4
1996-02-01,107.7
1996-03-01,105.3
1996-04-01,108.1
1996-05-01,106.1
1996-06-01,104.7
1996-07-01,104.5
1996-08-01,105.9
1996-09-01,107.4
1996-10-01,102.4
1996-11-01,104.7
1996-12-01,107
1997-01-01,107.1
1997-02-01,107.6
1997-03-01,104.8
1997-04-01,112.4
1997-05-01,116.7
1997-06-01,113.9
1997-07-01,113.5
1997-08-01,116.2
1997-09-01,109.3
1997-10-01,110.8
1997-11-01,108.2
1997-12-01,115.5
1998-01-01,111
1998-02-01,110.5
1998-03-01,119
1998-04-01,112.6
1998-05-01,114.3
1998-06-01,111.5
1998-07-01,116.8
1998-08-01,113.4
1998-09-01,115.7
1998-10-01,111.7
1998-11-01,115.4
1998-12-01,116.8
1999-01-01,112.3
1999-02-01,115.7
1999-03-01,115.2
1999-04-01,114.9
1999-05-01,116
1999-06-01,123.1
1999-07-01,121.4
1999-08-01,116.9
1999-09-01,114.5
1999-10-01,116.8
1999-11-01,115.2
1999-12-01,118.2
2000-01-01,110.4
2000-02-01,117
2000-03-01,117
2000-04-01,115.7
2000-05-01,117.9
2000-06-01,120.6
2000-07-01,115.6
2000-08-01,114.3
2000-09-01,112.9
2000-10-01,113.5
2000-11-01,114.9
2000-12-01,115.7
2001-01-01,110.9
2001-02-01,108.1
2001-03-01,103.7
2001-04-01,104.1
2001-05-01,98.7
2001-06-01,102.1
2001-07-01,102.2
2001-08-01,100.2
2001-09-01,101.7
2001-10-01,93.5
2001-11-01,92.1
2001-12-01,94.9
2002-01-01,95.9
2002-02-01,98.1
2002-03-01,97.2
2002-04-01,99.3
2002-05-01,100.9
2002-06-01,103.2
2002-07-01,97.9
2002-08-01,99
2002-09-01,100.2
2002-10-01,95.9
2002-11-01,92.9
2002-12-01,93.8
2003-01-01,95.9
2003-02-01,96.9
2003-03-01,95.3
2003-04-01,87.1
2003-05-01,94.8
2003-06-01,94.1
2003-07-01,92
2003-08-01,102.1
2003-09-01,100.5
2003-10-01,98.9
2003-11-01,102.2
2003-12-01,102.8
2004-01-01,93.6
2004-02-01,108.9
2004-03-01,100.4
2004-04-01,105.7
2004-05-01,104.1
2004-06-01,107.2
2004-07-01,108.1
2004-08-01,105.2
2004-09-01,108.4
2004-10-01,105.8
2004-11-01,99.6
2004-12-01,106.2
2005-01-01,106.3
2005-02-01,110.4
2005-03-01,110.9
2005-04-01,107.3
2005-05-01,103.9
2005-06-01,103.3
2005-07-01,110.4
2005-08-01,112
2005-09-01,110.4
2005-10-01,97.7
2005-11-01,95.7
2005-12-01,100.3
2006-01-01,106.6
2006-02-01,112
2006-03-01,107.7
2006-04-01,106.2
2006-05-01,111.1
