Date,Current conditions
2006-06-01,96.2
2006-07-01,103.1
2006-08-01,100.8
2006-09-01,100.8
2006-10-01,95.7
2006-11-01,106.1
2006-12-01,106.5
2007-01-01,108.2
2007-02-01,112.5
2007-03-01,108.3
2007-04-01,103.6
2007-05-01,102.4
2007-06-01,103.8
2007-07-01,100.2
2007-08-01,105.7
2007-09-01,97.7
2007-10-01,98.3
2007-11-01,98.2
2007-12-01,91
2008-01-01,92.1
2008-02-01,98.1
2008-03-01,85.4
2008-04-01,84.6
2008-05-01,78.4
2008-06-01,71.7
2008-07-01,68.7
2008-08-01,69.5
2008-09-01,69.3
2008-10-01,76.5
2008-11-01,58.9
2008-12-01,61.4
2009-01-01,69.4
2009-02-01,69.2
2009-03-01,67.1
2009-04-01,62.3
2009-05-01,66.6
2009-06-01,66.2
2009-07-01,74.5
2009-08-01,70.4
2009-09-01,64.9
2009-10-01,71.8
2009-11-01,72.1
2009-12-01,69.6
2010-01-01,79.1
2010-02-01,81
2010-03-01,84.1
2010-04-01,80.8
2010-05-01,80.7
2010-06-01,81.1
2010-07-01,82.9
2010-08-01,75.5
2010-09-01,78.3
2010-10-01,78.4
2010-11-01,73
2010-12-01,79.7
2011-01-01,85.7
2011-02-01,79.8
2011-03-01,86.8
2011-04-01,83.6
2011-05-01,82.7
2011-06-01,80.2
2011-07-01,79.6
2011-08-01,76.3
2011-09-01,69.3
2011-10-01,74.5
2011-11-01,73.8
2011-12-01,76.6
2012-01-01,77.9
2012-02-01,82.6
2012-03-01,79.6
2012-04-01,84.2
2012-05-01,80.6
2012-06-01,87.3
2012-07-01,82.1
2012-08-01,83.2
2012-09-01,87.6
2012-10-01,88.3
2012-11-01,88.6
2012-12-01,91.3
2013-01-01,89.9
2013-02-01,84.8
2013-03-01,88
2013-04-01,87.5
2013-05-01,84.8
2013-06-01,97.5
2013-07-01,92.1
2013-08-01,99.7
2013-09-01,92.8
2013-10-25,89.9
2013-11-08,87.2
2013-11-27,88
2013-12-06,97.9
2013-12-23,98.6
2014-01-17,95.2
2014-01-31,96.8
2014-02-14,94
2014-02-28,95.4
2014-03-14,96.1
2014-03-28,95.7
2014-04-11,97.1
2014-04-25,98.7
2014-05-16,95.1
2014-05-30,94.5
2014-06-13,95.4
2014-06-27,96.6
2014-07-18,97.1
2014-08-01,97.4
2014-08-15,99.6
2014-08-29,99.8
2014-09-12,98.5
2014-09-26,98.9
2014-10-17,98.9
2014-10-31,98.3
2014-11-14,103
2014-11-26,102.7
2014-12-12,105.7
2014-12-23,104.8
2015-01-16,108.3
2015-01-30,109.3
2015-02-13,103.1
2015-02-27,106.9
2015-03-13,103
2015-03-27,105
2015-04-17,108.2
2015-05-01,107
2015-05-15,99.8
2015-05-29,100.8
2015-06-12,106.8
2015-06-26,108.9
2015-07-17,106
2015-07-31,107.2
2015-08-14,107.1
2015-08-28,105.1
2015-09-11,100.3
2015-09-25,101.2
2015-10-16,106.7
2015-10-30,102.3
2015-11-13,104.8
2015-11-25,104.3
2015-12-11,107
2015-12-23,108.1
2016-01-15,105.1
2016-01-29,106.4
2016-02-12,105.8
2016-02-26,106.8
2016-03-18,105.6
2016-04-01,105.6
2016-04-15,105.4
2016-04-29,106.7
2016-05-13,108.6
2016-05-27,109.9
2016-06-10,111.7
2016-06-24,110.8
2016-07-15,108.7
2016-07-29,109
2016-08-12,106.1
2016-08-26,107
2016-09-16,103.5
2016-09-30,104.2
2016-10-14,105.5
2016-10-28,103.2
2016-11-11,105.9
2016-11-23,107.3
2016-12-09,112.1
2016-12-23,111.9
2017-01-13,112.5
2017-01-27,111.3
2017-02-10,111.2
2017-02-24,111.2
2017-03-17,114.5
2017-03-31,113.2
2017-04-13,115.2
2017-04-28,112.7
2017-05-12,112.7
2017-05-26,111.7
2017-06-16,109.6
2017-06-30,112.5
2017-07-14,113.2
2017-07-28,113.4
2017-08-18,111
2017-09-01,110.9
2017-09-15,113.9
2017-09-29,111.7
2017-10-13,116.4
2017-10-27,116.5
2017-11-10,113.6
2017-11-22,113.5
2017-12-08,115.9
2017-12-22,113.8
2018-01-19,109.2
2018-02-02,110.5
2018-02-16,110.5
2018-03-02,114.9
2018-03-16,122.8
2018-03-29,121.2
2018-04-13,115
2018-04-27,114.9
2018-05-11,113.3
2018-05-25,111.8
2018-06-15,117.9
2018-06-29,111.8
2018-07-13,113.9
2018-07-27,114.4
2018-08-17,107.8
2018-08-31,110.3
2018-09-14,116.1
2018-09-28,115.2
2018-10-12,114.4
2018-10-26,113.1
2018-11-09,113.2
2018-11-21,112.3
2018-12-07,115.2
2018-12-21,116.1
2019-01-18,110
2019-02-01,108.8
2019-02-15,110
2019-03-01,108.5
2019-03-15,111.2
2019-03-29,113.3
2019-04-12,114.2
2019-04-26,112.3
2019-05-17,112.4
2019-05-31,110
2019-06-14,112.5
2019-06-28,111.9
2019-07-19,111.1
2019-08-02,110.7
2019-08-16,107.4
2019-08-30,105.3
2019-09-13,105.3
2019-09-27,108.5
2019-10-11,108.5
2019-10-25,113.2
2019-11-08,113.2
2019-11-22,111.6
2019-12-06,111.6
2019-12-20,115.5
2020-01-17,115.5
2020-01-31,114.4
2020-02-14,114.4
2020-02-28,114.8
2020-03-13,114.8
2020-03-27,103.7
2020-04-09,103.7
2020-04-24,74.3
2020-05-15,74.3
2020-05-29,82.3
2020-06-12,82.3
2020-06-26,87.1
2020-07-17,87.1
2020-07-31,82.8
2020-08-14,82.8
2020-08-28,82.9
2020-09-18,82.9
2020-10-02,87.8
2020-10-16,87.8
2020-10-30,85.9
2020-11-13,85.9
2020-11-25,87
2020-12-11,87
2020-12-23,90
2021-01-15,87.7
2021-01-29,86.7
2021-02-12,86.7
2021-02-26,86.2
2021-03-12,91.5
2021-03-26,93
2021-04-16,97.2
2021-04-30,97.2
2021-05-14,97.2
2021-05-28,89.4
2021-06-11,89.4
2021-06-25,88.6
2021-07-16,84.5
2021-07-30,84.5
2021-08-13,84.5
2021-08-27,78.5
2021-09-17,78.5
2021-10-01,80.1
2021-10-15,80.1
2021-10-29,77.7
2021-11-12,77.7
2021-11-24,73.6
2021-12-10,73.6
2021-12-23,74.2
2022-01-14,74.2
2022-01-28,72
2022-02-11,72
2022-02-25,68.2
2022-03-11,68.2
2022-03-25,67.2
2022-04-14,68.1
2022-04-29,69.4
2022-05-13,69.4
2022-05-27,63.3
2022-06-10,55.4
2022-06-24,53.8
2022-07-15,53.8
2022-07-29,58.1
2022-08-12,58.1
2022-08-26,58.6
2022-09-16,58.9
2022-09-30,59.7
2022-10-14,65.3
2022-10-28,65.6
2022-11-11,65.6
2022-11-23,58.8
2022-12-09,60.2
2022-12-23,59.4
2023-01-13,59.4
2023-01-27,68.4
2023-02-10,68.4
2023-02-24,70.7
2023-03-17,70.7
2023-03-31,66.3
2023-04-14,68.6
2023-04-28,68.2
2023-05-12,64.5
