Date,Description,Link,EarningRelated
04/08/2023 00:00:00,"LyondellBasell to Discuss Second Quarter Results on Friday, August 4, 2023",,1
08/06/2023 00:00:00,"LyondellBasell to Address Deutsche Bank Global Industrials, Materials & Building Products Conference",,0
10/05/2023 00:00:00,LyondellBasell to Address Goldman Sachs Industrials & Materials Conference,,0
28/04/2023 00:00:00,"LyondellBasell to Discuss First-Quarter Results on Friday, April 28, 2023",,1
14/03/2023 00:00:00,LyondellBasell to Host 2023 Capital Markets Day,,0
03/02/2023 00:00:00,"LyondellBasell to Discuss Fourth-Quarter Results on Friday, February 3, 2023",,1
29/11/2022 00:00:00,LyondellBasell to Address Citi Basic Materials Conference,,0
09/11/2022 00:00:00,"LyondellBasell to Address Morgan Stanley Global Chemicals, Agriculture and Packaging Conference",,0
28/10/2022 00:00:00,"LyondellBasell to Discuss Third-Quarter Results on Friday, October 28, 2022",,1
14/09/2022 00:00:00,LyondellBasell to Address Credit Suisse 35th Annual Specialties & Basics Conference,,0
29/07/2022 00:00:00,"LyondellBasell to Discuss Second First-Quarter Results on Friday, July 29, 2022",,1
05/05/2022 00:00:00,2022 Wells Fargo Industrials Conference,,0
29/04/2022 00:00:00,"LyondellBasell to Discuss First-Quarter Results on Friday, April 29, 2022",,1
16/03/2022 00:00:00,LyondellBasell to Address 2022 JP Morgan Industrials Conference,,0
02/03/2022 00:00:00,LyondellBasell to Address Bank of America Securities Global Agriculture and Materials Conference,,0
28/01/2022 00:00:00,"LyondellBasell to Discuss Forth-Quarter Results on Friday, January 28, 2022",,1
30/11/2021 00:00:00,Citi 2021 Basic Materials Virtual Conference,,0
10/11/2021 00:00:00,"LyondellBasell to Address Morgan Stanley Global Chemicals, Agriculture and Packaging Conference",,0
29/10/2021 00:00:00,"LyondellBasell to Discuss Third-Quarter Results on Friday, October 29, 2021",,1
30/07/2021 00:00:00,"LyondellBasell to Discuss Second-Quarter Results on Friday, July 30, 2021",,1
13/05/2021 00:00:00,LyondellBasell to Address Goldman Sachs Industrials & Materials Conference 2021,,0
30/04/2021 00:00:00,LyondellBasell to Discuss First-Quarter 2021 Results,,1
16/03/2021 00:00:00,LyondellBasell to Address 2021 JP Morgan Industrials Conference,,0
