Date,Description,Link,EarningRelated
12/09/2023 00:00:00,lululemon speaking at the Goldman Sachs Global Retailing Conference,,0
31/08/2023 00:00:00,lululemon athletica Q2 2023 Results,,1
01/06/2023 00:00:00,lululemon athletica Q1 2023 Results,,1
28/03/2023 00:00:00,Fourth Quarter and Year End 2022 Conference Call,,1
08/12/2022 00:00:00,lululemon athletica Q3 2022 Results,,1
01/09/2022 00:00:00,lululemon athletica Q2 2022 Results,,1
02/06/2022 00:00:00,lululemon athletica Q1 2022 Results,,1
20/04/2022 00:00:00,lululemon athletica Inc. 2022 Analyst Day,,0
29/03/2022 00:00:00,Fourth Quarter and Year End 2021 Conference Call,,1
09/12/2021 00:00:00,lululemon athletica Q3 2021 Results,,1
08/09/2021 00:00:00,lululemon athletica Q2 2021 Results,,1
03/06/2021 00:00:00,lululemon athletica Q1 2021 Results,,1
30/03/2021 00:00:00,lululemon athletica Q4 2020 Results,,1
10/12/2020 00:00:00,lululemon athletica Q3 2020 Results,,1
08/09/2020 00:00:00,lululemon athletica Q2 2020 Results,,1
29/06/2020 00:00:00,lululemon athletica to acquire MIRROR Conference Call and Webcast,,0
11/06/2020 00:00:00,lululemon athletica Q1 2020 Results,,1
26/03/2020 00:00:00,lululemon athletica Q4 2019 Results,,1
11/12/2019 00:00:00,lululemon athletica Q3 2019 Results,,1
05/09/2019 00:00:00,lululemon athletica Q2 2019 Results,,1
12/06/2019 00:00:00,lululemon athletica Q1 2019 Results,,1
24/04/2019 00:00:00,lululemon athletica Analyst Day,,0
27/03/2019 00:00:00,lululemon athletica Q4 and Full Year Fiscal 2018 Results,,1
06/12/2018 00:00:00,lululemon athletica Q3 2018 Results,,1
30/08/2018 00:00:00,lululemon athletica Q2 2018 Results,,1
31/05/2018 00:00:00,lululemon athletica Q1 2018 Results,,1
27/03/2018 00:00:00,lululemon athletica Q4 2017 Results,,1
06/12/2017 00:00:00,lululemon athletica Q3 2017 Results,,1
31/08/2017 00:00:00,lululemon athletica Q2 2017 Results,,1
01/06/2017 00:00:00,lululemon athletica Q1 2017 Results,,1
29/03/2017 00:00:00,lululemon athletica Q4 2016 Results,,1
07/12/2016 00:00:00,lululemon athletica Q3 2016 Results,,1
01/09/2016 00:00:00,lululemon athletica Q2 2016 Results,,1
08/06/2016 00:00:00,lululemon athletica Q1 2016 Results,,1
30/03/2016 00:00:00,lululemon athletica Q4 2015 Results,,1
09/12/2015 00:00:00,lululemon athletica Q3 2015 Results,,1
10/09/2015 00:00:00,lululemon athletica Q2 2015 Results,,1
09/06/2015 00:00:00,lululemon athletica Q1 2015 Results,,1
03/06/2015 00:00:00,lululemon athletica Annual Meeting,,0
26/03/2015 00:00:00,lululemon athletica Q4 and Full Year Fiscal 2014 Results,,1
11/12/2014 00:00:00,lululemon athletica Q3 2014 results,,1
11/08/2014 00:00:00,lululemon athletica Q2 2014 results,,1
12/06/2014 00:00:00,lululemon athletica Q1 2014 results,,1
11/06/2014 00:00:00,lululemon athletica Annual Meeting,,0
27/03/2014 00:00:00,lululemon athletica Q4 2013 results,,1
14/01/2014 00:00:00,16th Annual ICR XChange Conference,,0
