Date,% Greater,% Same,% Less,Net,Index,% Reporting
2023-04-01,15.3,55.6,29.1,-13.8,43.1,90
2023-03-01,12.6,62.6,24.8,-12.2,43.9,90
2023-02-01,16.9,56.3,26.8,-9.9,45.1,92
2023-01-01,15.9,55.0,29.1,-13.2,43.4,91
2022-12-01,11.5,59.7,28.8,-17.3,41.4,93
2022-11-01,13.7,52.6,33.7,-20.0,40.0,91
2022-10-01,17.4,55.8,26.8,-9.4,45.3,93
2022-09-01,25.5,50.8,23.7,1.8,50.9,90
2022-08-01,24.6,56.7,18.7,5.9,53.0,93
2022-07-01,26.6,49.4,24.0,2.6,51.3,92
2022-06-01,25.6,55.3,19.1,6.5,53.2,93
2022-05-01,31.6,54.3,14.1,17.5,58.7,91
2022-04-01,27.9,56.3,15.8,12.1,56.0,92
2022-03-01,29.8,60.4,9.8,20.0,60.0,92.0
2022-02-01,39.0,52.0,9.0,30.0,65.0,92.0
2022-01-01,24.7,63.5,11.8,12.9,56.4,93.0
2021-12-01,38.0,49.7,12.3,25.7,62.8,90.0
2021-11-01,35.2,53.3,11.5,23.7,61.9,92.0
2021-10-01,36.4,54.4,9.2,27.2,63.6,91.0
2021-09-01,39.0,51.6,9.4,29.6,64.8,90.0
2021-08-01,44.5,47.5,8.0,36.5,68.2,91.0
2021-07-01,36.2,57.5,6.2,30.0,65.0,92.0
2021-06-01,39.5,50.1,10.4,29.1,64.5,92.0
2021-05-01,49.1,42.9,8.0,41.1,70.6,91.0
2021-04-01,44.4,47.6,8.0,36.4,68.2,89.0
2021-03-01,43.1,48.8,8.1,35.0,67.5,91.0
2021-02-01,38.5,51.0,10.5,28.0,64.0,91.0
2021-01-01,32.1,55.2,12.7,19.4,59.7,91.0
2020-12-01,31.4,55.4,13.2,18.2,59.1,90.0
2020-11-01,28.9,56.1,15.0,13.9,56.9,89.0
2020-10-01,27.1,57.2,15.7,11.4,55.7,91.0
2020-09-01,26.1,58.3,15.7,10.4,55.2,87.0
2020-08-01,29.0,51.3,19.7,9.3,54.6,89.0
2020-07-01,20.3,63.0,16.7,3.6,51.8,87.0
2020-06-01,19.4,51.9,28.7,-9.3,45.3,89.0
2020-05-01,18.2,40.1,41.8,-23.6,38.2,91.0
2020-04-01,20.9,33.7,45.4,-24.5,37.8,91.0
2020-03-01,18.1,55.5,26.3,-8.2,45.9,90.0
2020-02-01,21.8,57.0,21.3,0.5,50.3,88.0
2020-01-01,17.1,57.2,25.6,-8.5,45.7,88.0
2019-12-01,12.6,61.4,26.0,-13.4,43.3,89.0
