Date,% Slower,% Same,% Faster,Net,Index
2015-03-01,14.0,76.0,10.0,4.0,50.5
2015-02-01,17.0,75.0,8.0,9.0,54.3
2015-01-01,14.0,80.0,6.0,8.0,52.9
2014-12-01,17.0,80.0,3.0,14.0,59.3
2014-11-01,14.0,80.0,6.0,8.0,56.8
2014-10-01,15.0,79.0,6.0,9.0,56.2
2014-09-01,12.0,81.0,7.0,5.0,52.2
2014-08-01,13.0,82.0,5.0,8.0,53.9
2014-07-01,16.0,79.0,5.0,11.0,54.1
2014-06-01,11.0,83.0,6.0,5.0,51.9
2014-05-01,13.0,82.0,5.0,8.0,53.2
2014-04-01,17.0,81.0,2.0,15.0,55.9
2014-03-01,16.0,79.0,5.0,11.0,54.0
2014-02-01,17.0,82.0,1.0,16.0,58.5
2014-01-01,15.0,80.0,5.0,10.0,54.3
2013-12-01,12.0,79.0,9.0,3.0,53.7
2013-11-01,6.0,89.0,5.0,1.0,53.3
2013-10-01,11.0,83.0,6.0,5.0,54.1
2013-09-01,10.0,86.0,4.0,6.0,52.7
2013-08-01,12.0,81.0,7.0,5.0,52.4
2013-07-01,11.0,85.0,4.0,7.0,52.0
2013-06-01,9.0,84.0,7.0,2.0,50.4
2013-05-01,8.0,85.0,7.0,1.0,49.7
2013-04-01,12.0,81.0,7.0,5.0,51.1
2013-03-01,11.0,82.0,7.0,4.0,50.4
2013-02-01,9.0,84.0,7.0,2.0,51.5
2013-01-01,10.0,85.0,5.0,5.0,51.9
2012-12-01,9.0,83.0,8.0,1.0,52.9
2012-11-01,7.0,81.0,12.0,-5.0,50.2
2012-10-01,6.0,84.0,10.0,-4.0,49.4
2012-09-01,8.0,86.0,6.0,2.0,50.6
2012-08-01,9.0,83.0,8.0,1.0,50.3
2012-07-01,9.0,84.0,7.0,2.0,49.6
2012-06-01,8.0,85.0,7.0,1.0,50.0
2012-05-01,10.0,82.0,8.0,2.0,50.2
2012-04-01,9.0,82.0,9.0,0.0,48.7
2012-03-01,9.0,83.0,8.0,1.0,48.6
2012-02-01,7.0,82.0,11.0,-4.0,48.4
2012-01-01,9.0,84.0,7.0,2.0,50.8
2011-12-01,8.0,79.0,13.0,-5.0,49.9
2011-11-01,9.0,79.0,12.0,-3.0,51.3
2011-10-01,10.0,81.0,9.0,1.0,52.0
2011-09-01,12.0,81.0,7.0,5.0,51.9
2011-08-01,12.0,81.0,7.0,5.0,52.0
2011-07-01,13.0,80.0,7.0,6.0,51.4
2011-06-01,18.0,78.0,4.0,14.0,56.4
2011-05-01,22.0,70.0,8.0,14.0,55.9
2011-04-01,24.0,73.0,3.0,21.0,59.2
2011-03-01,26.0,73.0,1.0,25.0,59.9
2011-02-01,24.0,69.0,7.0,17.0,59.2
2011-01-01,18.0,77.0,5.0,13.0,57.2
2010-12-01,15.0,78.0,7.0,8.0,57.0
2010-11-01,18.0,77.0,5.0,13.0,59.5
2010-10-01,13.0,77.0,10.0,3.0,52.9
2010-09-01,17.0,76.0,7.0,10.0,54.0
2010-08-01,19.0,78.0,3.0,16.0,57.1
2010-07-01,28.0,66.0,6.0,22.0,58.9
2010-06-01,23.0,71.0,6.0,17.0,57.8
2010-05-01,29.0,66.0,5.0,24.0,60.8
2010-04-01,22.0,76.0,2.0,20.0,58.9
2010-03-01,27.0,73.0,0.0,27.0,61.3
2010-02-01,23.0,72.0,5.0,18.0,59.8
2010-01-01,18.0,79.0,3.0,15.0,59.0
2009-12-01,16.0,78.0,6.0,10.0,58.3
2009-11-01,15.0,80.0,5.0,10.0,57.5
2009-10-01,15.0,83.0,2.0,13.0,58.4
2009-09-01,24.0,71.0,5.0,19.0,58.4
2009-08-01,18.0,79.0,3.0,15.0,56.5
2009-07-01,14.0,80.0,6.0,8.0,52.2
2009-06-01,8.0,87.0,5.0,3.0,50.4
2009-05-01,8.0,86.0,6.0,2.0,49.2
2009-04-01,5.0,80.0,15.0,-10.0,44.4
2009-03-01,7.0,73.0,20.0,-13.0,41.9
2009-02-01,6.0,78.0,16.0,-10.0,46.0
2009-01-01,7.0,74.0,19.0,-12.0,45.5
2008-12-01,5.0,79.0,16.0,-11.0,48.1
2008-11-01,6.0,84.0,10.0,-4.0,49.7
2008-10-01,9.0,80.0,11.0,-2.0,50.3
2008-09-01,11.0,84.0,5.0,6.0,51.6
2008-08-01,9.0,84.0,7.0,2.0,49.3
2008-07-01,15.0,82.0,3.0,12.0,53.3
2008-06-01,16.0,79.0,5.0,11.0,53.9
2008-05-01,14.0,81.0,5.0,9.0,52.2
2008-04-01,10.0,88.0,2.0,8.0,53.8
2008-03-01,11.0,85.0,4.0,7.0,52.7
2008-02-01,6.0,87.0,7.0,-1.0,51.6
2008-01-01,6.0,91.0,3.0,3.0,53.8
2007-12-01,8.0,88.0,4.0,4.0,56.0
2007-11-01,5.0,92.0,3.0,2.0,52.4
2007-10-01,7.0,87.0,6.0,1.0,51.6
2007-09-01,8.0,88.0,4.0,4.0,50.7
2007-08-01,6.0,90.0,4.0,2.0,49.2
2007-07-01,7.0,91.0,2.0,5.0,50.0
2007-06-01,7.0,87.0,6.0,1.0,48.9
2007-05-01,5.0,93.0,2.0,3.0,49.3
2007-04-01,7.0,87.0,6.0,1.0,50.3
2007-03-01,5.0,93.0,2.0,3.0,51.2
2007-02-01,7.0,87.0,6.0,1.0,52.8
2007-01-01,7.0,88.0,5.0,2.0,53.1
2006-12-01,8.0,88.0,4.0,4.0,55.7
2006-11-01,9.0,86.0,5.0,4.0,53.1
2006-10-01,9.0,83.0,8.0,1.0,51.3
2006-09-01,13.0,82.0,5.0,8.0,52.9
2006-08-01,16.0,80.0,4.0,12.0,54.2
2006-07-01,16.0,80.0,4.0,12.0,53.5
2006-06-01,15.0,82.0,3.0,12.0,54.0
2006-05-01,20.0,77.0,3.0,17.0,56.1
2006-04-01,19.0,77.0,4.0,15.0,57.4
2006-03-01,14.0,80.0,6.0,8.0,53.9
2006-02-01,11.0,82.0,7.0,4.0,54.4
2006-01-01,11.0,85.0,4.0,7.0,55.7
2005-12-01,12.0,79.0,9.0,3.0,54.9
2005-11-01,19.0,74.0,7.0,12.0,57.0
2005-10-01,26.0,70.0,4.0,22.0,61.8
2005-09-01,21.0,75.0,4.0,17.0,57.7
2005-08-01,8.0,87.0,5.0,3.0,49.9
2005-07-01,10.0,86.0,4.0,6.0,50.8
2005-06-01,12.0,84.0,4.0,8.0,52.0
2005-05-01,11.0,82.0,7.0,4.0,49.8
2005-04-01,14.0,76.0,10.0,4.0,51.8
2005-03-01,13.0,81.0,6.0,7.0,53.5
2005-02-01,14.0,80.0,6.0,8.0,56.5
2005-01-01,13.0,79.0,8.0,5.0,54.7
2004-12-01,16.0,76.0,8.0,8.0,55.3
2004-11-01,17.0,77.0,6.0,11.0,56.8
2004-10-01,24.0,70.0,6.0,18.0,59.2
2004-09-01,23.0,73.0,4.0,19.0,59.8
2004-08-01,31.0,66.0,3.0,28.0,62.8
2004-07-01,35.0,61.0,4.0,31.0,64.5
2004-06-01,39.0,58.0,3.0,36.0,67.1
2004-05-01,41.0,57.0,2.0,39.0,68.3
2004-04-01,38.0,58.0,4.0,34.0,66.7
2004-03-01,38.0,59.0,3.0,35.0,66.7
2004-02-01,28.0,70.0,2.0,26.0,62.9
2004-01-01,24.0,72.0,4.0,20.0,61.5
2003-12-01,17.0,81.0,2.0,15.0,59.3
2003-11-01,14.0,82.0,4.0,10.0,56.4
2003-10-01,11.0,87.0,2.0,9.0,54.6
2003-09-01,8.0,90.0,2.0,6.0,53.4
2003-08-01,10.0,88.0,2.0,8.0,53.0
2003-07-01,10.0,85.0,5.0,5.0,51.5
2003-06-01,6.0,89.0,5.0,1.0,49.8
2003-05-01,8.0,87.0,5.0,3.0,50.6
2003-04-01,7.0,86.0,7.0,0.0,49.9
2003-03-01,10.0,86.0,4.0,6.0,52.6
2003-02-01,9.0,88.0,3.0,6.0,52.8
2003-01-01,9.0,85.0,6.0,3.0,52.8
2002-12-01,8.0,87.0,5.0,3.0,52.9
2002-11-01,11.0,80.0,9.0,2.0,52.1
2002-10-01,12.0,83.0,5.0,7.0,53.4
2002-09-01,16.0,81.0,3.0,13.0,56.7
2002-08-01,13.0,83.0,4.0,9.0,53.6
2002-07-01,15.0,82.0,3.0,12.0,54.8
2002-06-01,14.0,82.0,4.0,10.0,54.4
2002-05-01,13.0,82.0,5.0,8.0,53.4
2002-04-01,10.0,87.0,3.0,7.0,53.5
2002-03-01,10.0,84.0,6.0,4.0,51.9
2002-02-01,9.0,85.0,6.0,3.0,51.4
2002-01-01,6.0,88.0,6.0,0.0,51.2
2001-12-01,5.0,86.0,9.0,-4.0,49.3
2001-11-01,4.0,88.0,8.0,-4.0,49.1
2001-10-01,8.0,83.0,9.0,-1.0,49.5
2001-09-01,4.0,87.0,9.0,-5.0,47.5
2001-08-01,6.0,83.0,11.0,-5.0,46.7
2001-07-01,5.0,86.0,9.0,-4.0,46.8
2001-06-01,5.0,85.0,10.0,-5.0,47.1
2001-05-01,6.0,80.0,14.0,-8.0,45.4
2001-04-01,5.0,85.0,10.0,-5.0,47.2
2001-03-01,9.0,77.0,14.0,-5.0,47.7
2001-02-01,6.0,88.0,6.0,0.0,50.2
2001-01-01,7.0,83.0,10.0,-3.0,49.8
2000-12-01,11.0,82.0,7.0,4.0,52.8
2000-11-01,7.0,86.0,7.0,0.0,50.3
2000-10-01,9.0,85.0,6.0,3.0,51.1
2000-09-01,8.0,84.0,8.0,0.0,49.6
2000-08-01,12.0,85.0,3.0,9.0,53.5
2000-07-01,13.0,84.0,3.0,10.0,53.9
2000-06-01,13.0,83.0,4.0,9.0,54.5
2000-05-01,14.0,83.0,3.0,11.0,55.4
2000-04-01,15.0,81.0,4.0,11.0,55.4
2000-03-01,12.0,83.0,5.0,7.0,54.3
2000-02-01,10.0,88.0,2.0,8.0,54.4
2000-01-01,10.0,87.0,3.0,7.0,55.0
1999-12-01,14.0,84.0,2.0,12.0,56.7
