Date,% Higher,% Same,% Lower,Net,Index,% Reporting
2023-05-01,15.4,57.5,27.1,-11.7,44.2
2023-04-01,26.3,53.7,20.0,6.3,53.2
2023-03-01,21.4,55.6,23.0,-1.6,49.2
2023-02-01,24.7,53.2,22.1,2.6,51.3
2023-01-01,18.2,52.5,29.3,-11.1,44.5
2022-12-01,13.6,51.6,34.8,-21.2,39.4
2022-11-01,13.1,59.8,27.1,-14.0,43.0
2022-10-01,19.7,53.8,26.5,-6.8,46.6
2022-09-01,31.4,40.5,28.1,3.3,51.7
2022-08-01,31.7,41.6,26.7,5.0,52.5
2022-07-01,41.5,37.0,21.5,20.0,60.0
2022-06-01,65.2,26.5,8.3,56.9,78.5
2022-05-01,70.2,24.2,5.6,64.6,82.2
2022-04-01,73.5,22.1,4.4,69.1,84.6
2022-03-01,75.1,24.0,0.9,74.2,87.1,
2022-02-01,56.2,38.8,5.0,51.2,75.6,
2022-01-01,58.7,34.8,6.5,52.2,76.1,
2021-12-01,47.4,41.6,11.0,36.4,68.2,
2021-11-01,67.9,29.0,3.1,64.8,82.4,
2021-10-01,72.3,26.7,1.0,71.3,85.7,
2021-09-01,69.5,23.4,7.1,62.4,81.2,
2021-08-01,62.8,33.3,3.9,58.9,79.4,
2021-07-01,73.8,23.8,2.4,71.4,85.7,
2021-06-01,84.8,14.5,0.7,84.1,92.1,
2021-05-01,77.1,21.6,1.2,75.9,88.0,
2021-04-01,80.1,19.1,0.9,79.2,89.6,
2021-03-01,71.6,27.9,0.5,71.1,85.6,
2021-02-01,73.1,25.7,1.2,71.9,86.0,
2021-01-01,64.3,35.7,0.0,64.3,82.1,
2020-12-01,57.8,39.7,2.6,55.2,77.6,
2020-11-01,36.7,57.3,6.0,30.7,65.4,
2020-10-01,35.4,60.1,4.5,30.9,65.5,
2020-09-01,32.3,60.9,6.8,25.5,62.8,
2020-08-01,27.4,64.3,8.3,19.1,59.5,
2020-07-01,22.7,61.2,16.2,6.5,53.2,
2020-06-01,18.5,65.6,15.9,2.6,51.3,
2020-05-01,13.9,53.8,32.3,-18.4,40.8,
2020-04-01,10.0,50.6,39.4,-29.4,35.3,
2020-03-01,11.6,51.7,36.7,-25.1,37.4,
2020-02-01,16.6,58.6,24.8,-8.2,45.9,
2020-01-01,23.8,59.2,17.1,6.7,53.3,
2019-12-01,16.5,70.5,13.0,3.5,51.7,
2019-11-01,14.6,64.2,21.3,-6.7,46.7,
2019-10-01,15.7,59.6,24.7,-9.0,45.5,
2019-09-01,16.4,66.5,17.1,-0.7,49.7,
2019-08-01,14.9,62.2,22.9,-8.0,46.0,
2019-07-01,15.9,58.4,25.7,-9.8,45.1,
2019-06-01,19.7,56.4,23.9,-4.2,47.9,
2019-05-01,22.0,62.3,15.7,6.3,53.2,
2019-04-01,19.0,62.1,19.0,0.0,50.0,
2019-03-01,19.1,70.5,10.5,8.6,54.3,
