Date,% Better,% Same,% Worse,Net,Index
2023-06-01,15.0,68.1,16.9,-1.9,46.7
2023-05-01,20.6,59.5,19.9,0.7,51.1
2023-04-01,24.4,56.0,19.6,4.8,48.9
2023-03-01,17.6,63.2,19.2,-1.6,47.8
2023-02-01,16.6,62.3,21.1,-4.5,47.3
2023-01-01,17.9,53.7,28.4,-10.5,48.0
2022-12-01,17.3,56.2,26.5,-9.2,48.5
2022-11-01,20.2,61.7,18.1,2.1,51.5
2022-10-01,20.2,62.3,17.5,2.7,52.3
2022-09-01,17.5,64.3,18.2,-0.7,50.6
2022-08-01,17.6,65.4,17.0,0.6,50.4
2022-07-01,24.9,58.5,16.6,8.3,53.5
2022-06-01,27.4,60.9,11.7,15.7,54.9
2022-05-01,23.9,59.2,16.9,7.0,54.2
2022-04-01,27.5,61.0,11.5,16.0,53.6
2022-03-01,25.7,62.3,12.0,13.7,54.5
2022-02-01,27.5,61.8,10.7,16.8,58.5
2022-01-01,21.9,65.7,12.4,9.5,57.8
2021-12-01,25.6,57.0,17.4,8.2,59.4
2021-11-01,30.3,57.3,12.4,17.9,60.2
2021-10-01,31.3,54.3,14.4,16.9,59.0
2021-09-01,31.6,53.1,15.3,16.3,59.4
2021-08-01,31.9,54.5,13.5,18.4,60.0
2021-07-01,31.1,59.9,9.1,22.0,58.4
2021-06-01,39.1,49.3,11.6,27.5,60.8
2021-05-01,39.2,43.6,17.2,22.0,58.5
2021-04-01,44.3,44.3,11.4,32.9,62.5
2021-03-01,43.0,48.9,8.1,34.9,68.1
2021-02-01,36.8,51.7,11.6,25.2,63.2
2021-01-01,30.8,57.8,11.4,19.4,60.7
2020-12-01,32.3,54.6,13.1,19.2,64.7
2020-11-01,33.7,52.0,14.3,19.4,62.2
2020-10-01,37.4,51.0,11.7,25.7,63.1
2020-09-01,34.3,50.9,14.8,19.5,61.0
2020-08-01,38.3,48.6,13.2,25.1,63.3
2020-07-01,41.6,39.9,18.5,23.1,62.1
2020-06-01,39.2,37.7,23.1,16.1,57.3
2020-05-01,20.7,27.8,51.5,-30.8,33.2
2020-04-01,18.6,21.2,60.2,-41.6,27.5
2020-03-01,21.5,53.7,24.8,-3.3,47.7
2020-02-01,26.4,53.5,20.1,6.3,50.3
2020-01-01,25.3,55.9,18.8,6.5,54.3
2019-12-01,15.8,49.8,34.4,-18.6,44.8
2019-11-01,20.3,56.3,23.4,-3.1,48.0
2019-10-01,20.8,49.5,29.7,-8.9,46.3
2019-09-01,20.3,52.5,27.2,-6.9,47.3
2019-08-01,22.0,54.7,23.2,-1.2,49.5
2019-07-01,19.7,59.4,20.8,-1.1,50.8
2019-06-01,31.7,48.7,19.6,12.1,54.1
2019-05-01,25.4,54.9,19.7,5.7,51.3
2019-04-01,30.4,51.5,18.1,12.3,52.3
2019-03-01,30.8,54.8,14.4,16.4,55.8
2019-02-01,26.0,59.5,14.5,11.5,54.8
2019-01-01,28.3,56.0,15.7,12.6,60.5
2018-12-01,21.6,58.8,19.5,2.1,54.1
2018-11-01,30.6,56.8,12.6,18.0,59.9
2018-10-01,28.2,60.7,11.2,17.0,59.3
2018-09-01,,56.7,,24.0,63.9
2018-08-01,,53.8,,24.4,63.3
2018-07-01,,52.6,,15.6,58.5
2018-06-01,,51.0,,28.4,62.3
2018-05-01,,55.2,,26.9,61.5
2018-04-01,,58.5,,25.6,57.2
2018-03-01,,55.7,,27.9,61.0
2018-02-01,,54.9,,25.9,62.0
2018-01-01,,56.2,,21.8,64.5
2017-12-01,,60.7,,22.3,65.2
2017-11-01,,61.0,,25.4,64.3
2017-10-01,30.0,59.6,10.4,19.5,61.0
2017-09-01,31.0,59.0,10.0,21.0,62.2
2017-08-01,32.0,56.0,12.0,20.0,61.0
2017-07-01,33.0,54.0,13.0,20.0,60.6
2017-06-01,34.0,59.0,7.0,27.0,62.4
2017-05-01,31.0,57.0,12.0,19.0,57.1
2017-04-01,39.0,53.0,8.0,31.0,58.6
2017-03-01,34.0,53.0,13.0,21.0,57.6
2017-02-01,37.0,53.0,10.0,27.0,62.9
2017-01-01,32.0,50.0,18.0,14.0,61.4
2016-12-01,28.0,55.0,17.0,11.0,59.4
2016-11-01,26.0,57.0,17.0,9.0,55.6
2016-10-01,25.0,56.0,19.0,6.0,54.6
2016-09-01,24.0,56.0,20.0,4.0,52.8
2016-08-01,19.0,59.0,22.0,-3.0,49.6
2016-07-01,25.0,58.0,17.0,8.0,55.4
2016-06-01,28.0,55.0,17.0,11.0,54.7
2016-05-01,29.0,52.0,19.0,10.0,52.6
2016-04-01,35.0,52.0,13.0,22.0,54.2
2016-03-01,28.0,61.0,11.0,17.0,55.3
2016-02-01,24.0,59.0,17.0,7.0,52.8
2016-01-01,22.0,51.0,27.0,-5.0,50.2
2015-12-01,19.0,54.0,27.0,-8.0,49.9
2015-11-01,20.0,57.0,23.0,-3.0,49.8
2015-10-01,23.0,56.0,21.0,2.0,52.5
2015-09-01,21.0,59.0,20.0,1.0,51.8
2015-08-01,24.0,57.0,19.0,5.0,53.6
2015-07-01,22.0,63.0,15.0,7.0,56.0
2015-06-01,24.0,59.0,17.0,7.0,54.0
2015-05-01,27.0,62.0,11.0,16.0,54.5
2015-04-01,36.0,52.0,12.0,24.0,56.0
