Date,% Higher,% Same,% Lower,Net,Index
2024-02-01,12.7,70.4,16.9,-4.2,45.3
2024-01-01,14.0,63.8,22.2,-8.2,46.2
2023-12-01,11.1,62.8,26.1,-15.0,44.3
2023-11-01,13.8,59.7,26.5,-12.7,44.8
2023-10-01,12.6,63.8,23.6,-11.0,43.3
2023-09-01,11.7,68.1,20.2,-8.5,45.8
2023-08-01,10.4,70.2,19.4,-9.0,44.0
2023-07-01,12.8,64.9,22.3,-9.5,46.1
2023-06-01,8.2,71.6,20.2,-12.0,44.0
2023-05-01,13.5,63.8,22.7,-9.2,45.8
2023-04-01,15.1,62.4,22.5,-7.4,46.3
2023-03-01,15.5,65.2,19.3,-3.8,47.5
2023-02-01,20.5,60.7,18.8,1.7,50.1
2023-01-01,22.1,57.1,20.8,1.3,50.2
2022-12-01,20.0,59.5,20.5,-0.5,51.8
2022-11-01,20.9,58.3,20.8,0.1,50.9
2022-10-01,21.6,63.3,15.1,6.5,52.5
2022-09-01,23.0,64.9,12.1,10.9,55.5
2022-08-01,23.2,62.9,13.9,9.3,53.1
2022-07-01,25.5,61.8,12.7,12.8,57.3
2022-06-01,25.4,59.8,14.8,10.6,56.0
2022-05-01,24.3,62.5,13.2,11.1,55.9
2022-04-01,21.4,61.4,17.2,4.2,51.6
2022-03-01,24.5,63.6,11.9,12.6,55.5
2022-02-01,23.4,63.3,13.3,10.1,53.6
2022-01-01,21.8,62.7,15.5,6.3,53.2
2021-12-01,21.6,61.7,16.7,4.9,54.6
2021-11-01,26.2,58.1,15.7,10.5,56.3
2021-10-01,28.0,57.8,14.2,13.8,56.4
2021-09-01,29.7,51.4,18.9,10.8,55.6
2021-08-01,25.4,60.5,14.2,11.2,54.2
2021-07-01,21.6,53.7,24.7,-3.1,48.9
2021-06-01,20.7,59.9,19.4,1.3,51.1
2021-05-01,23.8,54.1,22.2,1.6,50.8
2021-04-01,18.2,58.3,23.5,-5.3,46.5
2021-03-01,22.4,58.4,19.2,3.2,50.8
2021-02-01,19.8,63.1,17.1,2.7,49.7
2021-01-01,18.1,65.6,16.3,1.8,50.8
2020-12-01,22.1,53.5,24.4,-2.3,51.0
2020-11-01,18.1,62.4,19.4,-1.3,50.8
2020-10-01,21.3,59.9,18.8,2.5,51.6
2020-09-01,16.9,61.6,21.5,-4.6,47.1
2020-08-01,13.3,65.2,21.5,-8.2,44.4
2020-07-01,21.2,51.6,27.2,-6.0,47.0
2020-06-01,22.9,54.1,23.0,-0.1,50.5
2020-05-01,29.0,42.0,29.0,0.0,50.4
2020-04-01,31.7,37.2,31.2,0.5,49.7
2020-03-01,20.5,55.0,24.5,-4.0,46.9
2020-02-01,14.9,66.6,18.5,-3.6,46.5
2020-01-01,18.2,61.2,20.6,-2.4,48.8
2019-12-01,17.5,58.1,24.4,-6.9,49.2
2019-11-01,15.4,60.2,24.4,-9.0,47.2
2019-10-01,19.8,58.1,22.1,-2.3,49.4
2019-09-01,16.3,61.3,22.5,-6.2,46.9
2019-08-01,19.4,61.0,19.7,-0.3,49.9
2019-07-01,17.4,64.1,18.4,-1.0,49.5
2019-06-01,16.5,65.1,18.4,-1.9,49.1
2019-05-01,18.8,64.3,16.9,1.9,50.9
2019-04-01,20.5,64.8,14.7,5.8,52.9
2019-03-01,18.4,66.9,14.7,3.7,51.8
2019-02-01,20.0,66.8,13.2,6.8,53.4
2019-01-01,21.5,62.5,16.0,5.5,52.8
2018-12-01,20.9,60.6,18.4,2.5,51.2
2018-11-01,23.4,59.0,17.6,5.8,52.9
2018-10-01,18.8,63.6,17.5,1.3,50.7
2018-09-01,20.6,65.4,14.0,6.6,53.3
2018-08-01,25.2,60.4,14.5,10.7,55.4
2018-07-01,22.3,61.9,15.8,6.5,53.3
2018-06-01,20.7,60.2,19.1,1.6,50.8
2018-05-01,17.7,65.1,17.3,0.4,50.2
2018-04-01,20.4,65.0,14.6,5.8,52.9
2018-03-01,22.1,66.7,11.1,11.0,55.5
2018-02-01,23.8,66.0,10.3,13.5,56.7
2018-01-01,24.4,55.7,19.9,4.5,52.3
2017-12-01,18.0,60.9,21.1,-3.0,48.5
2017-11-01,16.0,62.1,21.9,-5.8,47.1
2017-10-01,16.8,62.5,20.6,-3.8,48.1
2017-09-01,22.0,61.0,17.0,5.0,52.5
2017-08-01,22.0,67.0,11.0,11.0,55.5
2017-07-01,19.0,62.0,19.0,0.0,50.0
2017-06-01,16.0,66.0,18.0,-2.0,49.0
2017-05-01,18.0,67.0,15.0,3.0,51.5
2017-04-01,19.0,64.0,17.0,2.0,51.0
2017-03-01,18.0,62.0,20.0,-2.0,49.0
2017-02-01,19.0,65.0,16.0,3.0,51.5
2017-01-01,18.0,61.0,21.0,-3.0,48.5
2016-12-01,17.0,60.0,23.0,-6.0,47.0
2016-11-01,15.0,68.0,17.0,-2.0,49.0
