Code,Name,Naics1,Nacis2,Duns,Website
91,Amway International Inc,454390,424210,15-661-9959 - Archived Record,amway.com
92,H S Die & Engineering Inc,333514,,05-094-7068 - Archived Record,hsdie.com
93,ONeal Steel LLC,423510,,00-339-6959 - Archived Record,
94,Avera McKennan,561499,,09-468-6748 - Archived Record,
95,Belco Industries Inc,333994,423830,00-602-6710,belcoind.com
96,Fincantieri Marine Group Holdi,336611,,82-956-6855 - Archived Record,
97,Westlock Controls Corporation,332912,,10-139-5291 - Archived Record,westlockcontrols.com
98,White Energy Inc,325110,,80-359-1408 - Archived Record,white-energy.com
99,Federal Express Intl Inc,492110,,19-064-5705 - Archived Record,
100,Trillium Farm Holdings LLC,445240,,03-887-1747,trilliumfarmsohio.com
101,Eastbay Inc,448190,448210,03-876-4411 - Archived Record,footlocker.com
102,Plainfield Tob & Candy Co Inc,424940,424450,04-241-3856 - Archived Record,
103,Tennessee Dept Transportation,926120,,87-829-7712 - Archived Record,
104,Qurate Retail Inc,459999,516210,79-065-7378,libertyinteractive.com
105,Ftd Group Inc,561499,424930,14-953-5812 - Archived Record,ftdi.com
106,Alticor Inc,454390,325411,00-602-6793 - Archived Record,amway.com
107,Terminix Consumer Services LLC,561730,524128,78-373-4205,servicemaster.com
108,Mike & Terrie Enterprises Inc,532310,,14-422-2684 - Archived Record,
109,Tom Lange Company Inc,424480,,06-855-0375,tomlange.com
110,Ramaco Resources Inc,212115,213113,04-069-6532,ramacoresources.com
111,Daves World Inc,532284,459110,05-100-0859,davesworld.com
112,Indiana Historical Society Inc,712120,921190,07-595-6623,indianahistory.org
113,Otsuka America Inc,334519,332999,60-711-1846 - Archived Record,otsuka-america.com
114,Wagner-Meinert LLC,423740,238220,78-212-4192,wmillc.com
115,Clayton Properties Group Inc,459930,531190,78-588-0980,claytonpropertiesgroup.com
116,City Transfer Co Inc,492210,,03-774-4810 - Archived Record,
117,Align Aerospace Holding Inc,331512,,92-928-2700 - Archived Record,
118,Safilo Usa Inc,423460,,04-681-4760 - Archived Record,solsticesunglasses.com
119,Harley-Davidson Motor Co Inc,441227,336991,00-608-0519,harley-davidson.com
120,Turner Corporation,236220,236220,10-327-3827,turnerconstruction.com
121,Albany Medical College,611519,,19-059-2162,albany.org
122,Ohio Valley Coal Company,213113,,18-860-6438 - Archived Record,
123,Tennessee Dept Veterans Svcs,923140,,87-829-7829 - Archived Record,
124,Digi-Key Corporation,423690,,05-760-2120,digikey.com
125,Trenton Housing Authority,925110,,86-842-2890 - Archived Record,
126,Lindley Laboratories Inc,325613,531210,08-363-1267 - Archived Record,
127,The Long Island Railroad Co,485112,,00-699-2929 - Archived Record,longisland.com
128,Mastercard Incorporated,522320,,11-856-9339,mastercard.us
